# Food Delivery Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Order_ID,Restaurant_Name,Cuisine_Type,Food_Items,Order_Value_USD,Delivery_Time_Minutes,Customer_Rating,Delivery_Platform,Customer_Location,Restaurant_Location,Distance_KM,Delivery_Fee_USD,Service_Fee_USD,Tip_USD,Total_Cost_USD,Order_Date,Delivery_Status,Customer_Age,Customer_Gender,Peak_Hours,Weather_Condition,Traffic_Condition,Restaurant_Rating,Preparation_Time_Minutes,Driver_Rating,Customer_Loyalty_Level
1,FD001,McDonald's,Fast Food,"Big Mac, Fries, Coke",12.50,25,4.5,Uber Eats,Downtown,City Center,2.5,2.99,1.50,3.00,20.99,2023-01-15,Delivered,28,Male,No,Clear,Light,4.2,8,4.8,Regular
2,FD002,Pizza Hut,Pizza,"Pepperoni Pizza, Garlic Bread",18.75,35,4.0,DoorDash,Suburbs,Mall District,5.2,3.99,2.25,4.00,28.99,2023-01-15,Delivered,34,Female,Yes,Rainy,Heavy,4.0,12,4.5,VIP
3,FD003,KFC,Fast Food,"Chicken Bucket, Coleslaw",15.20,28,4.2,Grubhub,University Area,Strip Mall,3.8,2.50,1.80,2.50,22.00,2023-01-15,Delivered,22,Male,No,Cloudy,Moderate,4.1,10,4.6,New
4,FD004,Subway,Sandwiches,"Turkey Sub, Chips",8.95,20,4.7,Uber Eats,Office District,Business Park,1.5,1.99,1.00,2.00,13.94,2023-01-15,Delivered,31,Female,Yes,Clear,Light,4.3,5,4.9,Regular
5,FD005,Domino's,Pizza,"Margherita Pizza, Wings",16.80,30,4.1,DoorDash,Residential,Main Street,4.0,3.49,2.00,3.50,25.79,2023-01-15,Delivered,29,Male,No,Snow,Heavy,4.0,15,4.4,VIP
6,FD006,Chipotle,Mexican,"Burrito Bowl, Chips",11.25,22,4.6,Grubhub,Downtown,Plaza,2.0,2.25,1.35,2.25,17.10,2023-01-15,Delivered,26,Female,Yes,Clear,Light,4.4,7,4.8,Regular
7,FD007,Burger King,Fast Food,"Whopper, Onion Rings",13.40,26,4.3,Uber Eats,Suburbs,Shopping Center,3.5,2.99,1.60,2.75,20.74,2023-01-15,Delivered,33,Male,No,Cloudy,Moderate,4.2,9,4.7,New
8,FD008,Taco Bell,Mexican,"Crunchwrap, Nachos",9.80,18,4.4,DoorDash,University Area,Strip Mall,2.8,2.50,1.20,2.00,15.50,2023-01-15,Delivered,24,Female,Yes,Rainy,Heavy,4.1,6,4.6,Regular
9,FD009,Papa John's,Pizza,"Supreme Pizza, Breadsticks",19.50,32,4.0,Grubhub,Office District,Business Park,4.5,3.99,2.30,4.00,29.79,2023-01-15,Delivered,37,Male,No,Clear,Light,4.0,18,4.3,VIP
10,FD010,Starbucks,Coffee,"Latte, Muffin",7.25,15,4.8,Uber Eats,Downtown,City Center,1.0,1.99,0.80,1.50,11.54,2023-01-15,Delivered,25,Female,Yes,Clear,Light,4.5,3,4.9,Regular
11,FD011,Five Guys,Burgers,"Cheeseburger, Fries",14.75,24,4.5,DoorDash,Residential,Main Street,3.2,2.99,1.75,3.00,22.49,2023-01-15,Delivered,30,Male,No,Cloudy,Moderate,4.3,11,4.8,New
12,FD012,Panera Bread,Cafe,"Soup, Sandwich",10.50,19,4.6,Grubhub,Suburbs,Mall District,2.3,2.25,1.25,2.25,16.25,2023-01-15,Delivered,27,Female,Yes,Snow,Heavy,4.4,8,4.7,Regular
13,FD013,Wendy's,Fast Food,"Baconator, Frosty",12.80,23,4.2,Uber Eats,University Area,Strip Mall,2.6,2.50,1.50,2.50,19.30,2023-01-15,Delivered,23,Male,No,Rainy,Heavy,4.1,7,4.5,VIP
14,FD014,Olive Garden,Italian,"Pasta, Breadsticks",22.40,38,4.1,DoorDash,Office District,Business Park,5.8,4.99,2.70,4.50,34.59,2023-01-15,Delivered,41,Female,Yes,Clear,Light,4.2,20,4.4,Regular
15,FD015,Red Lobster,Seafood,"Shrimp Scampi, Biscuits",25.60,42,4.0,Grubhub,Downtown,Plaza,6.2,5.49,3.00,5.00,39.09,2023-01-15,Delivered,45,Male,No,Cloudy,Moderate,4.1,25,4.2,New
16,FD016,Applebee's,American,"Ribs, Fries",18.90,35,4.3,Uber Eats,Residential,Main Street,4.8,3.99,2.25,3.75,28.89,2023-01-15,Delivered,38,Female,Yes,Snow,Heavy,4.0,16,4.6,Regular
17,FD017,IHOP,Breakfast,"Pancakes, Bacon",13.20,28,4.4,DoorDash,Suburbs,Shopping Center,3.9,2.99,1.85,2.75,20.79,2023-01-15,Delivered,32,Male,No,Rainy,Heavy,4.3,12,4.7,VIP
18,FD018,Denny's,Diner,"Grand Slam, Coffee",11.80,26,4.2,Grubhub,University Area,Strip Mall,3.4,2.50,1.60,2.25,18.15,2023-01-15,Delivered,29,Female,Yes,Clear,Light,4.1,10,4.5,Regular
19,FD019,Chili's,American,"Fajitas, Margarita",20.50,40,4.1,Uber Eats,Office District,Business Park,5.5,4.49,2.85,4.00,31.84,2023-01-15,Delivered,44,Male,No,Cloudy,Moderate,4.0,22,4.3,New
20,FD020,Outback Steakhouse,Australian,"Bloomin Onion, Steak",28.75,45,4.0,DoorDash,Downtown,City Center,6.8,5.99,3.45,5.50,43.69,2023-01-15,Delivered,52,Female,Yes,Snow,Heavy,4.1,30,4.1,Regular
21,FD021,Buffalo Wild Wings,Sports Bar,"Wings, Beer",24.30,38,4.2,Grubhub,Residential,Main Street,5.2,4.99,2.90,4.25,36.44,2023-01-15,Delivered,35,Male,No,Rainy,Heavy,4.2,18,4.4,VIP
22,FD022,Hooters,American,"Wings, Fries",19.60,33,4.1,Uber Eats,Suburbs,Mall District,4.6,3.99,2.35,3.50,29.44,2023-01-15,Delivered,31,Female,Yes,Clear,Light,4.0,15,4.5,Regular
23,FD023,TGI Friday's,American,"Jack Daniels Burger",17.80,31,4.3,DoorDash,University Area,Strip Mall,4.2,3.49,2.10,3.25,26.64,2023-01-15,Delivered,28,Male,No,Cloudy,Moderate,4.1,14,4.6,New
24,FD024,Ruby Tuesday,American,"Salad Bar, Steak",21.40,37,4.0,Grubhub,Office District,Business Park,5.1,4.49,2.55,4.00,32.44,2023-01-15,Delivered,39,Female,Yes,Snow,Heavy,4.0,19,4.2,Regular
