# Social Media Trends Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Trend_Name,Platform,Category,Hashtag,Peak_Date,Duration_Days,Reach_Millions,Engagement_Rate_Percent,Viral_Factor,Origin_Country,Creator,Content_Type,Language,Age_Demographic,Gender_Demographic,Industry_Impact,Media_Coverage,Controversy_Level,Memes_Generated,Commercial_Value_USD_Millions,Cultural_Significance_Score
1,Drake Pointing,Dance,TikTok,#DrakePointing,2023-01-15,30,500.0,15.2,9.5,USA,Unknown,Dance,English,Gen Z,Female,High,Medium,Low,1000,5.0,8.5
2,Renegade,Dance,TikTok,#Renegade,2020-01-01,60,800.0,18.5,9.8,USA,Jalaiah Harmon,Dance,English,Gen Z,Female,High,High,Low,2000,8.0,9.2
3,Savage,Dance,TikTok,#Savage,2020-03-15,45,600.0,16.8,9.0,USA,Megan Thee Stallion,Dance,English,Gen Z,Female,High,High,Medium,1500,6.0,8.8
4,Oh No,Dance,TikTok,#OhNo,2020-05-01,30,400.0,14.5,8.5,USA,Capone,Dance,English,Gen Z,Mixed,Medium,Medium,Low,800,3.0,7.5
5,Blinding Lights,Dance,TikTok,#BlindingLights,2020-02-01,90,700.0,17.2,9.2,Canada,The Weeknd,Dance,English,Gen Z,Mixed,High,High,Low,1200,7.0,8.9
6,Levitating,Dance,TikTok,#Levitating,2020-08-01,60,500.0,15.8,8.8,USA,Dua Lipa,Dance,English,Gen Z,Female,High,Medium,Low,900,4.0,8.2
7,Watermelon Sugar,Dance,TikTok,#WatermelonSugar,2020-06-01,45,450.0,14.2,8.2,UK,Harry Styles,Dance,English,Gen Z,Female,Medium,Medium,Low,700,3.5,7.8
8,Positions,Dance,TikTok,#Positions,2020-10-01,30,350.0,13.8,8.0,USA,Ariana Grande,Dance,English,Gen Z,Female,Medium,Low,Low,600,2.5,7.5
9,Good 4 U,Dance,TikTok,#Good4U,2021-05-01,45,400.0,16.5,8.9,USA,Olivia Rodrigo,Dance,English,Gen Z,Female,High,High,Low,800,4.5,8.5
10,Industry Baby,Dance,TikTok,#IndustryBaby,2021-07-01,30,300.0,14.8,8.3,USA,Lil Nas X,Dance,English,Gen Z,Mixed,High,High,High,500,3.0,8.0
11,Stay,Dance,TikTok,#Stay,2021-07-01,60,500.0,17.5,9.0,Canada,The Kid Laroi,Dance,English,Gen Z,Mixed,High,Medium,Low,1000,5.0,8.7
12,Heat Waves,Dance,TikTok,#HeatWaves,2021-01-01,90,600.0,18.2,9.3,UK,Glass Animals,Dance,English,Gen Z,Mixed,High,High,Low,1200,6.5,8.9
13,Driver's License,Dance,TikTok,#DriversLicense,2021-01-01,45,400.0,19.5,9.5,USA,Olivia Rodrigo,Dance,English,Gen Z,Female,High,High,Low,800,4.0,8.8
14,Montero,Dance,TikTok,#Montero,2021-03-01,30,350.0,16.8,8.7,USA,Lil Nas X,Dance,English,Gen Z,Mixed,High,High,High,600,3.5,8.2
15,Peaches,Dance,TikTok,#Peaches,2021-03-01,45,450.0,17.2,8.9,Canada,Justin Bieber,Dance,English,Gen Z,Mixed,High,Medium,Low,900,4.5,8.5
16,Butter,Dance,TikTok,#Butter,2021-05-01,60,500.0,18.8,9.2,South Korea,BTS,Dance,English,Gen Z,Female,High,High,Low,1000,5.5,8.9
17,Permission to Dance,Dance,TikTok,#PermissionToDance,2021-07-01,45,400.0,17.5,8.8,South Korea,BTS,Dance,English,Gen Z,Female,High,Medium,Low,800,4.0,8.6
18,Dynamite,Dance,TikTok,#Dynamite,2020-08-01,90,600.0,19.2,9.5,South Korea,BTS,Dance,English,Gen Z,Female,High,High,Low,1200,7.0,9.1
19,Life Goes On,Dance,TikTok,#LifeGoesOn,2020-11-01,30,300.0,16.5,8.5,South Korea,BTS,Dance,English,Gen Z,Female,Medium,Medium,Low,600,3.0,8.0
20,On,Dance,TikTok,#On,2020-02-01,45,350.0,15.8,8.2,South Korea,BTS,Dance,English,Gen Z,Female,Medium,Medium,Low,700,3.5,8.2
21,Black Swan,Dance,TikTok,#BlackSwan,2020-01-01,60,400.0,17.2,8.8,South Korea,BTS,Dance,English,Gen Z,Female,High,High,Low,800,4.0,8.5
22,Idol,Dance,TikTok,#Idol,2018-08-01,90,500.0,18.5,9.2,South Korea,BTS,Dance,English,Gen Z,Female,High,High,Low,1000,5.0,8.8
23,Fake Love,Dance,TikTok,#FakeLove,2018-05-01,60,450.0,17.8,8.9,South Korea,BTS,Dance,English,Gen Z,Female,High,Medium,Low,900,4.5,8.6
24,DNA,Dance,TikTok,#DNA,2017-09-01,45,400.0,16.5,8.5,South Korea,BTS,Dance,English,Gen Z,Female,Medium,Medium,Low,800,4.0,8.3
25,Blood Sweat Tears,Dance,TikTok,#BloodSweatTears,2016-10-01,60,350.0,15.8,8.2,South Korea,BTS,Dance,English,Gen Z,Female,Medium,Medium,Low,700,3.5,8.0
26,Fire,Dance,TikTok,#Fire,2016-05-01,45,300.0,14.5,7.8,South Korea,BTS,Dance,English,Gen Z,Female,Medium,Low,Low,600,3.0,7.8
27,Save Me,Dance,TikTok,#SaveMe,2016-05-01,30,250.0,13.8,7.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,500,2.5,7.5
28,Run,Dance,TikTok,#Run,2015-11-01,45,200.0,12.5,7.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,400,2.0,7.2
29,I Need U,Dance,TikTok,#INeedU,2015-04-01,60,180.0,11.8,6.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,350,1.8,6.8
30,Danger,Dance,TikTok,#Danger,2014-08-01,30,150.0,10.5,6.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,300,1.5,6.5
31,No More Dream,Dance,TikTok,#NoMoreDream,2013-06-01,45,120.0,9.8,6.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,250,1.2,6.2
32,We Are Bulletproof,Dance,TikTok,#WeAreBulletproof,2013-06-01,30,100.0,8.5,5.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,200,1.0,5.8
33,2 Cool 4 Skool,Dance,TikTok,#2Cool4Skool,2013-06-01,60,80.0,7.2,5.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,150,0.8,5.5
34,School of Rock,Dance,TikTok,#SchoolOfRock,2013-06-01,45,70.0,6.8,5.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,120,0.6,5.2
35,Outro: Circle Room Cypher,Dance,TikTok,#OutroCircleRoomCypher,2013-06-01,30,60.0,6.2,5.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,100,0.5,5.0
36,Skit: Circle Room Talk,Dance,TikTok,#SkitCircleRoomTalk,2013-06-01,30,50.0,5.8,4.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,80,0.4,4.8
37,Intro: 2 Cool 4 Skool,Dance,TikTok,#Intro2Cool4Skool,2013-06-01,30,40.0,5.5,4.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,60,0.3,4.5
38,We Are Bulletproof Pt.2,Dance,TikTok,#WeAreBulletproofPt2,2013-06-01,45,90.0,8.2,6.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,180,0.9,6.0
39,No More Dream,Dance,TikTok,#NoMoreDream,2013-06-01,60,110.0,9.5,6.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,220,1.1,6.5
40,We Are Bulletproof,Dance,TikTok,#WeAreBulletproof,2013-06-01,30,100.0,8.5,5.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,200,1.0,5.8
41,2 Cool 4 Skool,Dance,TikTok,#2Cool4Skool,2013-06-01,60,80.0,7.2,5.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,150,0.8,5.5
42,School of Rock,Dance,TikTok,#SchoolOfRock,2013-06-01,45,70.0,6.8,5.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,120,0.6,5.2
43,Outro: Circle Room Cypher,Dance,TikTok,#OutroCircleRoomCypher,2013-06-01,30,60.0,6.2,5.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,100,0.5,5.0
44,Skit: Circle Room Talk,Dance,TikTok,#SkitCircleRoomTalk,2013-06-01,30,50.0,5.8,4.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,80,0.4,4.8
45,Intro: 2 Cool 4 Skool,Dance,TikTok,#Intro2Cool4Skool,2013-06-01,30,40.0,5.5,4.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,60,0.3,4.5
46,We Are Bulletproof Pt.2,Dance,TikTok,#WeAreBulletproofPt2,2013-06-01,45,90.0,8.2,6.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,180,0.9,6.0
47,No More Dream,Dance,TikTok,#NoMoreDream,2013-06-01,60,110.0,9.5,6.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,220,1.1,6.5
48,We Are Bulletproof,Dance,TikTok,#WeAreBulletproof,2013-06-01,30,100.0,8.5,5.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,200,1.0,5.8
49,2 Cool 4 Skool,Dance,TikTok,#2Cool4Skool,2013-06-01,60,80.0,7.2,5.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,150,0.8,5.5
50,School of Rock,Dance,TikTok,#SchoolOfRock,2013-06-01,45,70.0,6.8,5.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,120,0.6,5.2
51,Outro: Circle Room Cypher,Dance,TikTok,#OutroCircleRoomCypher,2013-06-01,30,60.0,6.2,5.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,100,0.5,5.0
52,Skit: Circle Room Talk,Dance,TikTok,#SkitCircleRoomTalk,2013-06-01,30,50.0,5.8,4.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,80,0.4,4.8
53,Intro: 2 Cool 4 Skool,Dance,TikTok,#Intro2Cool4Skool,2013-06-01,30,40.0,5.5,4.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,60,0.3,4.5
54,We Are Bulletproof Pt.2,Dance,TikTok,#WeAreBulletproofPt2,2013-06-01,45,90.0,8.2,6.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,180,0.9,6.0
