# Game Reviews Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Game_Title,Platform,Reviewer,Rating,Review_Date,Review_Text,Helpful_Votes,Total_Votes,Reviewer_Experience_Hours,Genre,Release_Year,Developer,Publisher,Metacritic_Score,User_Score,Price_USD,Playtime_Hours,Recommendation,Language,Country
1,The Legend of Zelda: Breath of the Wild,Nintendo Switch,GameMaster2023,10,2023-12-15,"Absolutely incredible open world experience",1250,1300,150,Action-Adventure,2017,Nintendo,Nintendo,97,8.7,59.99,120,Yes,English,USA
2,The Witcher 3: Wild Hunt,PC,RPGFan99,9,2023-11-20,"Masterpiece of storytelling and world building",980,1020,200,RPG,2015,CD Projekt Red,CD Projekt,93,9.2,39.99,180,Yes,English,USA
3,Red Dead Redemption 2,PlayStation 4,CowboyGamer,9,2023-10-10,"Stunning visuals and immersive western experience",850,900,120,Action-Adventure,2018,Rockstar Games,Rockstar Games,97,8.5,59.99,100,Yes,English,USA
4,God of War,PlayStation 4,KratosFan,10,2023-09-05,"Perfect blend of action and emotional storytelling",1100,1150,80,Action-Adventure,2018,Santa Monica Studio,Sony,94,9.1,39.99,60,Yes,English,USA
5,Super Mario Odyssey,Nintendo Switch,MarioLover,9,2023-08-15,"Pure joy and creativity in every level",920,950,90,Platformer,2017,Nintendo,Nintendo,97,8.9,59.99,70,Yes,English,USA
6,The Last of Us Part II,PlayStation 4,NaughtyDogFan,8,2023-07-20,"Controversial but technically brilliant",650,750,100,Action-Adventure,2020,Naughty Dog,Sony,93,5.7,59.99,80,Yes,English,USA
7,Elden Ring,PC,DarkSoulsMaster,10,2023-06-10,"Revolutionary open world souls experience",1400,1450,180,Action-RPG,2022,FromSoftware,Bandai Namco,96,7.8,59.99,200,Yes,English,USA
8,Hollow Knight,PC,IndieGamer,9,2023-05-25,"Perfect metroidvania with beautiful art",780,820,60,Metroidvania,2017,Team Cherry,Team Cherry,87,9.0,14.99,40,Yes,English,USA
9,Celeste,PC,PlatformerPro,9,2023-04-30,"Challenging platformer with heart",620,680,40,Platformer,2018,Maddy Makes Games,Maddy Makes Games,92,8.7,19.99,25,Yes,English,USA
10,Stardew Valley,PC,FarmingSimFan,8,2023-03-15,"Relaxing and addictive farming simulation",890,920,150,Simulation,2016,ConcernedApe,ConcernedApe,89,8.8,14.99,120,Yes,English,USA
11,Portal 2,PC,PuzzleMaster,10,2023-02-28,"Perfect puzzle game with brilliant humor",1050,1100,20,Puzzle,2011,Valve,Valve,95,9.1,9.99,15,Yes,English,USA
12,Minecraft,PC,CreativeBuilder,9,2023-01-20,"Limitless creativity and endless possibilities",1200,1250,500,Sandbox,2011,Mojang,Microsoft,93,8.5,26.95,1000,Yes,English,USA
13,Grand Theft Auto V,PC,OpenWorldFan,8,2022-12-15,"Massive open world with endless activities",950,1000,200,Action-Adventure,2013,Rockstar Games,Rockstar Games,97,8.3,29.99,150,Yes,English,USA
14,The Elder Scrolls V: Skyrim,PC,FantasyRPGer,9,2022-11-20,"Epic fantasy adventure with mod support",1100,1150,300,RPG,2011,Bethesda Game Studios,Bethesda,94,8.2,39.99,250,Yes,English,USA
15,Fallout: New Vegas,PC,PostApocFan,9,2022-10-10,"Best Fallout game with amazing writing",720,780,120,RPG,2010,Obsidian Entertainment,Bethesda,84,8.7,9.99,100,Yes,English,USA
16,BioShock,PC,StoryGamer,9,2022-09-05,"Atmospheric shooter with deep themes",680,720,25,First-Person Shooter,2007,2K Boston,2K Games,96,8.9,19.99,20,Yes,English,USA
17,Mass Effect 2,PC,SpaceOperaFan,10,2022-08-15,"Perfect sci-fi RPG with amazing characters",920,950,60,RPG,2010,BioWare,Electronic Arts,96,9.0,19.99,50,Yes,English,USA
18,The Legend of Zelda: Ocarina of Time,Nintendo 64,RetroGamer,10,2022-07-20,"Timeless classic that defined 3D adventure",850,900,80,Action-Adventure,1998,Nintendo,Nintendo,99,9.1,49.99,40,Yes,English,USA
19,Super Mario 64,Nintendo 64,PlatformerKing,9,2022-06-10,"Revolutionary 3D platformer",780,820,60,Platformer,1996,Nintendo,Nintendo,94,8.8,49.99,35,Yes,English,USA
20,Chrono Trigger,Super Nintendo,RPGMaster,10,2022-05-25,"Perfect JRPG with timeless appeal",720,750,40,RPG,1995,Square,Square,92,9.2,14.99,30,Yes,English,USA
