# Software Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,App_Name,Developer,Category,Platform,Release_Date,Downloads_Millions,Price_USD,Rating,Size_MB,Features_Count,Languages_Supported,Target_Audience,Revenue_Model,Monthly_Active_Users_Millions,Annual_Revenue_Millions_USD,Market_Share_Percent,Competitors_Count,Update_Frequency_Days,User_Satisfaction_Score,App_Store_Rank,Google_Play_Rank,Social_Media_Presence,Marketing_Budget_Millions_USD,Customer_Support_Rating,Data_Privacy_Score,Security_Rating,Accessibility_Features,Offline_Mode,Cloud_Sync,API_Available,Open_Source
1,WhatsApp,Meta,Messaging,Mobile,2009-01-01,5000.0,0.0,4.5,100,25,60,General,Free,2000.0,0.0,25.0,3,7,9.2,1,1,High,500.0,8.5,7.0,8.0,Yes,Yes,Yes,No,No
2,Instagram,Meta,Social Media,Mobile,2010-10-01,3000.0,0.0,4.4,150,30,50,General,Advertising,1500.0,20000.0,20.0,5,14,8.8,2,2,High,800.0,8.0,6.5,7.5,Yes,Yes,Yes,Yes,No
3,TikTok,ByteDance,Social Media,Mobile,2016-09-01,2500.0,0.0,4.3,200,20,40,Gen Z,Advertising,1200.0,15000.0,15.0,4,10,8.5,3,3,High,600.0,7.5,6.0,7.0,Yes,Yes,Yes,Yes,No
4,Facebook,Meta,Social Media,Mobile,2004-02-01,4000.0,0.0,4.2,180,35,100,General,Advertising,3000.0,50000.0,30.0,6,21,8.0,4,4,High,1000.0,7.0,5.5,6.5,Yes,Yes,Yes,Yes,No
5,YouTube,Google,Video,Mobile,2005-02-01,6000.0,0.0,4.6,120,40,80,General,Advertising,2500.0,30000.0,35.0,2,14,9.0,5,5,High,1200.0,8.5,7.5,8.5,Yes,Yes,Yes,Yes,No
6,Spotify,Spotify,Music,Mobile,2008-10-01,2000.0,9.99,4.4,80,25,60,Music Lovers,Subscription,500.0,12000.0,40.0,3,7,8.7,6,6,High,400.0,8.0,8.0,8.5,Yes,Yes,Yes,Yes,No
7,Netflix,Netflix,Streaming,Mobile,2007-01-01,1500.0,15.49,4.3,90,20,50,Entertainment,Subscription,250.0,30000.0,25.0,5,14,8.5,7,7,Medium,300.0,8.5,8.5,9.0,Yes,Yes,Yes,No,No
8,Uber,Uber,Transportation,Mobile,2009-03-01,1000.0,0.0,4.1,60,15,40,Commuters,Commission,150.0,15000.0,20.0,4,10,8.2,8,8,High,200.0,7.5,6.5,7.5,Yes,Yes,Yes,Yes,No
9,Airbnb,Airbnb,Travel,Mobile,2008-08-01,800.0,0.0,4.2,70,18,45,Travelers,Commission,100.0,8000.0,15.0,3,14,8.3,9,9,Medium,150.0,8.0,7.0,8.0,Yes,Yes,Yes,Yes,No
10,Twitter,X Corp,Social Media,Mobile,2006-03-01,1200.0,0.0,4.0,50,12,30,General,Advertising,400.0,5000.0,10.0,5,7,7.8,10,10,High,100.0,6.5,5.0,6.0,Yes,Yes,Yes,Yes,No
11,LinkedIn,Microsoft,Professional,Mobile,2003-05-01,900.0,0.0,4.1,65,20,35,Professionals,Subscription,200.0,10000.0,8.0,2,21,8.0,11,11,Medium,80.0,8.0,7.5,8.5,Yes,Yes,Yes,Yes,No
12,Snapchat,Snap Inc,Social Media,Mobile,2011-09-01,600.0,0.0,4.2,55,15,25,Gen Z,Advertising,300.0,4000.0,5.0,4,10,8.1,12,12,High,120.0,7.0,6.0,7.0,Yes,Yes,Yes,Yes,No
13,Telegram,Telegram,Messaging,Mobile,2013-08-01,800.0,0.0,4.6,45,20,40,Privacy Conscious,Free,500.0,0.0,3.0,2,14,9.1,13,13,Low,50.0,9.0,9.0,9.5,Yes,Yes,Yes,Yes,Yes
14,Discord,Discord,Communication,Mobile,2015-05-01,500.0,0.0,4.5,80,25,30,Gamers,Subscription,150.0,1000.0,2.0,1,7,8.8,14,14,Medium,60.0,8.5,7.5,8.0,Yes,Yes,Yes,Yes,No
15,Zoom,Zoom,Video Conferencing,Mobile,2011-01-01,400.0,14.99,4.3,100,30,50,Business,Subscription,300.0,5000.0,15.0,3,14,8.5,15,15,Medium,100.0,8.0,7.0,8.5,Yes,Yes,Yes,Yes,No
16,Slack,Slack,Communication,Mobile,2013-08-01,300.0,6.67,4.4,70,35,40,Workplace,Subscription,100.0,2000.0,5.0,2,21,8.7,16,16,Low,80.0,8.5,8.0,8.5,Yes,Yes,Yes,Yes,No
17,Microsoft Teams,Microsoft,Communication,Mobile,2017-03-01,250.0,5.00,4.2,90,40,50,Enterprise,Subscription,200.0,8000.0,10.0,3,14,8.3,17,17,Low,120.0,8.0,8.5,9.0,Yes,Yes,Yes,Yes,No
18,Google Meet,Google,Video Conferencing,Mobile,2017-03-01,200.0,6.00,4.3,60,25,45,Business,Subscription,150.0,5000.0,8.0,2,14,8.5,18,18,Low,90.0,8.5,8.0,8.5,Yes,Yes,Yes,Yes,No
19,Skype,Microsoft,Communication,Mobile,2003-08-01,100.0,0.0,4.0,50,15,30,General,Subscription,50.0,1000.0,2.0,4,21,7.5,19,19,Low,30.0,7.0,6.5,7.5,Yes,Yes,Yes,Yes,No
20,WhatsApp Business,Meta,Business,Mobile,2018-01-01,200.0,0.0,4.4,80,20,40,Small Business,Free,100.0,0.0,1.0,1,14,8.5,20,20,Medium,40.0,8.0,7.0,8.0,Yes,Yes,Yes,No,No
21,Shopify,Shopify,E-commerce,Mobile,2006-06-01,50.0,29.00,4.5,120,50,25,Merchants,Subscription,25.0,3000.0,3.0,5,21,8.8,21,21,Low,60.0,8.5,8.0,8.5,Yes,Yes,Yes,Yes,No
22,PayPal,PayPal,Finance,Mobile,1998-12-01,300.0,0.0,4.2,60,25,35,General,Commission,200.0,25000.0,15.0,3,14,8.3,22,22,Medium,80.0,8.0,7.5,8.5,Yes,Yes,Yes,Yes,No
23,Venmo,PayPal,Finance,Mobile,2009-09-01,100.0,0.0,4.3,40,15,20,Millennials,Commission,50.0,2000.0,2.0,2,14,8.5,23,23,Medium,30.0,8.0,7.0,8.0,Yes,Yes,Yes,Yes,No
24,Cash App,Block,Finance,Mobile,2013-10-01,80.0,0.0,4.4,35,12,15,Gen Z,Commission,40.0,1500.0,1.5,2,14,8.6,24,24,Medium,25.0,8.0,7.0,8.0,Yes,Yes,Yes,Yes,No
25,Apple Pay,Apple,Finance,Mobile,2014-10-01,200.0,0.0,4.5,20,10,25,iPhone Users,Commission,150.0,5000.0,5.0,1,21,8.8,25,25,Low,50.0,8.5,8.5,9.0,Yes,Yes,Yes,No,No
26,Google Pay,Google,Finance,Mobile,2015-09-01,150.0,0.0,4.3,25,12,30,Android Users,Commission,100.0,3000.0,3.0,2,21,8.5,26,26,Low,40.0,8.0,8.0,8.5,Yes,Yes,Yes,No,No
27,Samsung Pay,Samsung,Finance,Mobile,2015-08-01,100.0,0.0,4.2,30,10,20,Samsung Users,Commission,80.0,2000.0,2.0,1,21,8.3,27,27,Low,30.0,8.0,7.5,8.0,Yes,Yes,Yes,No,No
28,Stripe,Stripe,Finance,Mobile,2010-09-01,10.0,2.90,4.6,40,30,15,Developers,Commission,5.0,1000.0,0.5,3,14,9.0,28,28,Low,20.0,9.0,8.5,9.0,Yes,Yes,Yes,Yes,No
29,Square,Block,Finance,Mobile,2009-05-01,20.0,2.75,4.4,50,25,20,Small Business,Commission,15.0,800.0,1.0,2,14,8.5,29,29,Low,25.0,8.5,8.0,8.5,Yes,Yes,Yes,Yes,No
30,QuickBooks,Intuit,Finance,Mobile,1983-01-01,15.0,25.00,4.3,80,40,25,Small Business,Subscription,10.0,2000.0,2.0,3,21,8.3,30,30,Low,40.0,8.0,8.0,8.5,Yes,Yes,Yes,Yes,No
31,Mint,Intuit,Finance,Mobile,2006-09-01,25.0,0.0,4.2,60,30,20,Personal Finance,Advertising,20.0,500.0,1.0,2,14,8.0,31,31,Low,20.0,7.5,6.5,7.5,Yes,Yes,Yes,Yes,No
32,YNAB,You Need A Budget,Finance,Mobile,2004-01-01,5.0,14.99,4.5,40,20,15,Budgeting,Subscription,3.0,100.0,0.2,1,21,8.8,32,32,Low,10.0,8.5,8.0,8.5,Yes,Yes,Yes,Yes,No
33,Personal Capital,Empower,Finance,Mobile,2009-01-01,8.0,0.0,4.3,70,35,25,Wealth Management,Commission,5.0,200.0,0.3,2,14,8.3,33,33,Low,15.0,8.0,7.5,8.0,Yes,Yes,Yes,Yes,No
34,Acorns,Acorns,Finance,Mobile,2012-01-01,12.0,3.00,4.4,50,25,20,Investing,Subscription,8.0,150.0,0.5,3,14,8.5,34,34,Medium,20.0,8.0,7.5,8.0,Yes,Yes,Yes,Yes,No
35,Robinhood,Robinhood,Finance,Mobile,2013-12-01,20.0,0.0,4.1,60,30,25,Investing,Commission,15.0,500.0,1.0,4,14,8.0,35,35,Medium,30.0,7.5,6.5,7.5,Yes,Yes,Yes,Yes,No
36,TD Ameritrade,Charles Schwab,Finance,Mobile,1975-01-01,8.0,0.0,4.2,80,40,30,Investing,Commission,5.0,1000.0,0.8,3,21,8.3,36,36,Low,25.0,8.0,8.0,8.5,Yes,Yes,Yes,Yes,No
37,E*TRADE,Morgan Stanley,Finance,Mobile,1982-01-01,6.0,0.0,4.1,75,35,25,Investing,Commission,4.0,800.0,0.6,3,21,8.0,37,37,Low,20.0,7.5,7.5,8.0,Yes,Yes,Yes,Yes,No
38,Fidelity,Fidelity,Finance,Mobile,1946-01-01,10.0,0.0,4.3,90,45,30,Investing,Commission,6.0,1500.0,1.0,2,21,8.5,38,38,Low,30.0,8.5,8.5,9.0,Yes,Yes,Yes,Yes,No
39,Vanguard,Vanguard,Finance,Mobile,1975-01-01,5.0,0.0,4.4,70,30,20,Investing,Commission,3.0,500.0,0.4,1,21,8.8,39,39,Low,15.0,8.5,8.5,8.5,Yes,Yes,Yes,Yes,No
40,Schwab,Charles Schwab,Finance,Mobile,1971-01-01,7.0,0.0,4.2,85,40,25,Investing,Commission,4.0,700.0,0.7,2,21,8.3,40,40,Low,20.0,8.0,8.0,8.5,Yes,Yes,Yes,Yes,No
41,Coinbase,Coinbase,Finance,Mobile,2012-06-01,30.0,0.0,4.0,100,35,30,Cryptocurrency,Commission,20.0,2000.0,2.0,4,14,7.8,41,41,Medium,50.0,7.5,6.5,7.5,Yes,Yes,Yes,Yes,No
42,Binance,Binance,Finance,Mobile,2017-07-01,50.0,0.0,3.9,120,40,35,Cryptocurrency,Commission,30.0,3000.0,3.0,5,14,7.5,42,42,High,80.0,7.0,5.5,6.5,Yes,Yes,Yes,Yes,No
43,Kraken,Kraken,Finance,Mobile,2011-07-01,8.0,0.0,4.1,90,30,25,Cryptocurrency,Commission,5.0,500.0,0.8,3,14,8.0,43,43,Low,20.0,8.0,7.5,8.0,Yes,Yes,Yes,Yes,No
