# Bloggers Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Blog_Name,Niche,Monthly_Visitors_Millions,Platform,Country,Founding_Year,Author_Name,Posts_Per_Month,Average_Post_Length_Words,Social_Media_Followers_Millions,Revenue_Monthly_USD,Monetization_Methods,Language,Target_Demographic,SEO_Score,Page_Load_Speed_Seconds,Mobile_Traffic_Percent,Email_Subscribers_Thousands,Affiliate_Marketing_Percent,Sponsored_Posts_Percent,Ad_Revenue_Percent
1,TechCrunch,Technology,25.0,WordPress,USA,2005,Michael Arrington,120,800,5.0,500000,Advertising,English,Professionals,95,1.2,65,500,20,15,65
2,HuffPost,News,20.0,Custom CMS,USA,2005,Arianna Huffington,200,600,8.0,400000,Advertising,English,General,90,1.5,70,800,25,20,55
3,Mashable,Technology,15.0,WordPress,USA,2005,Pete Cashmore,150,700,4.0,300000,Advertising,English,Millennials,88,1.3,68,300,30,25,45
4,Engadget,Technology,12.0,WordPress,USA,2004,Peter Rojas,100,900,2.5,250000,Advertising,English,Tech Enthusiasts,92,1.1,60,200,35,20,45
5,Gizmodo,Technology,10.0,WordPress,USA,2002,Gawker Media,80,800,2.0,200000,Advertising,English,Tech Enthusiasts,85,1.4,62,150,40,15,45
6,Lifehacker,Productivity,8.0,WordPress,USA,2005,Gina Trapani,60,600,1.5,150000,Advertising,English,Professionals,87,1.2,58,100,45,10,45
7,Kotaku,Gaming,7.0,WordPress,USA,2004,Brian Crecente,70,700,1.2,120000,Advertising,English,Gamers,83,1.3,55,80,50,20,30
8,Jezebel,Feminism,6.0,WordPress,USA,2007,Anna Holmes,50,800,1.0,100000,Advertising,English,Women,80,1.4,52,60,55,25,20
9,Deadspin,Sports,5.0,WordPress,USA,2005,Will Leitch,40,600,0.8,80000,Advertising,English,Sports Fans,78,1.5,48,40,60,30,10
10,Gawker,Gossip,4.0,WordPress,USA,2002,Nick Denton,30,500,0.6,60000,Advertising,English,Entertainment,75,1.6,45,30,65,35,0
11,Smashing Magazine,Web Design,3.0,WordPress,Germany,2006,Vitaly Friedman,20,1200,0.5,50000,Advertising,English,Developers,95,1.0,40,25,70,20,10
12,A List Apart,Web Design,2.0,WordPress,USA,1997,Jeffrey Zeldman,15,1000,0.3,40000,Advertising,English,Developers,98,0.9,35,20,75,15,10
13,CSS-Tricks,Web Design,1.5,WordPress,USA,2007,Chris Coyier,25,800,0.4,30000,Advertising,English,Developers,96,0.8,30,15,80,10,10
14,Treehouse,Education,1.2,WordPress,USA,2011,Ryan Carson,30,600,0.2,25000,Advertising,English,Students,90,1.1,25,10,85,5,10
