# Alcohol & Beverage Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Beverage_Name,Brand,Category,Type,Alcohol_Percent,Price_USD,Size_ml,Origin_Country,Production_Year,ABV_Range,Color,Flavor_Profile,Aging_Years,Price_Per_Liter_USD,Consumption_Rate_Liters_Per_Capita,Market_Share_Percent,Popularity_Rating,Food_Pairing,Storage_Temperature_Celsius,Serving_Glass
1,Vodka Premium,Beluga,Spirits,Vodka,40.0,45.99,750,Russia,2022,40-45,Clear,Neutral,0,61.32,8.5,12.3,4.7,Caviar,-18,Shot Glass
2,Whiskey Single Malt,Macallan,Spirits,Whiskey,43.0,89.99,750,Scotland,2020,40-50,Amber,Smoky,12,119.99,6.2,8.7,4.8,Steak,18,Glencairn
3,Bourbon Premium,Woodford Reserve,Spirits,Bourbon,45.2,52.99,750,USA,2021,40-50,Golden,Vanilla,8,70.65,7.8,15.2,4.6,Barbecue,20,Rocks Glass
4,Rum Aged,Havana Club,Spirits,Rum,40.0,38.99,750,Cuba,2019,35-45,Brown,Caramel,7,51.99,5.5,9.8,4.5,Pineapple,18,Highball
5,Gin London Dry,Tanqueray,Spirits,Gin,47.3,29.99,750,England,2022,40-50,Clear,Botanical,0,39.99,4.8,7.2,4.4,Tonic Water,4,Coupe
6,Tequila Reposado,Patron,Spirits,Tequila,40.0,59.99,750,Mexico,2021,35-45,Gold,Agave,8,79.99,3.2,6.5,4.7,Lime,18,Shot Glass
7,Cognac VSOP,Remy Martin,Spirits,Cognac,40.0,79.99,750,France,2020,35-45,Amber,Fruity,4,106.65,2.8,5.1,4.6,Chocolate,20,Snifter
8,Brandy Armagnac,Chateau de Laubade,Spirits,Brandy,40.0,95.99,750,France,2018,35-45,Brown,Dried Fruit,10,127.99,1.5,2.8,4.8,Cheese,18,Snifter
9,Liqueur Coffee,Kahlua,Liqueurs,Coffee,20.0,24.99,750,Mexico,2022,15-25,Brown,Coffee,0,33.32,2.1,4.2,4.3,Cream,4,Shot Glass
10,Liqueur Orange,Grand Marnier,Liqueurs,Orange,40.0,49.99,750,France,2021,35-45,Orange,Citrus,0,66.65,1.8,3.5,4.5,Crepes,4,Coupe
11,Champagne Brut,Moet & Chandon,Sparkling Wine,Champagne,12.0,65.99,750,France,2021,10-15,Pale Gold,Crisp,2,87.99,3.5,8.9,4.7,Oysters,6,Flute
12,Prosecco DOCG,La Marca,Sparkling Wine,Prosecco,11.5,18.99,750,Italy,2022,10-15,Pale Yellow,Fruity,0,25.32,4.2,12.1,4.4,Appetizers,6,Flute
13,Cava Brut,Freixenet,Sparkling Wine,Cava,11.5,12.99,750,Spain,2022,10-15,Pale Gold,Dry,0,17.32,2.8,6.7,4.2,Tapas,6,Flute
14,Rose Champagne,Dom Perignon,Sparkling Wine,Champagne,12.5,299.99,750,France,2020,10-15,Pink Rose,Delicate,8,399.99,0.8,1.2,4.9,Strawberries,6,Flute
15,White Wine Chardonnay,Kendall Jackson,Wine,White Wine,13.5,15.99,750,USA,2021,10-15,Pale Gold,Buttery,0,21.32,8.5,18.2,4.3,Chicken,8,Wine Glass
16,White Wine Sauvignon Blanc,Cloudy Bay,Wine,White Wine,13.0,22.99,750,New Zealand,2022,10-15,Pale Yellow,Crisp,0,30.65,6.8,14.5,4.5,Seafood,8,Wine Glass
17,White Wine Pinot Grigio,Santa Margherita,Wine,White Wine,12.5,19.99,750,Italy,2022,10-15,Pale Yellow,Light,0,26.65,7.2,15.8,4.4,Pasta,8,Wine Glass
18,White Wine Riesling,Dr. Loosen,Wine,White Wine,11.0,16.99,750,Germany,2021,10-15,Pale Gold,Sweet,0,22.65,4.5,9.8,4.2,Spicy Food,8,Wine Glass
19,Red Wine Cabernet Sauvignon,Caymus,Wine,Red Wine,14.5,89.99,750,USA,2020,12-16,Deep Red,Bold,2,119.99,12.5,22.8,4.7,Steak,18,Wine Glass
20,Red Wine Merlot,Duckhorn,Wine,Red Wine,14.0,45.99,750,USA,2021,12-16,Deep Red,Smooth,1,61.32,9.8,18.5,4.5,Lamb,18,Wine Glass
21,Red Wine Pinot Noir,Belle Glos,Wine,Red Wine,14.2,52.99,750,USA,2021,12-16,Medium Red,Elegant,1,70.65,8.2,16.2,4.6,Salmon,18,Wine Glass
22,Red Wine Syrah,Penfolds,Wine,Red Wine,14.8,35.99,750,Australia,2020,12-16,Deep Red,Spicy,1,47.99,6.5,12.8,4.4,BBQ,18,Wine Glass
23,Red Wine Malbec,Catena,Wine,Red Wine,13.8,24.99,750,Argentina,2021,12-16,Deep Red,Fruity,0,33.32,5.8,11.2,4.3,Beef,18,Wine Glass
24,Red Wine Zinfandel,Ridge,Wine,Red Wine,15.2,42.99,750,USA,2020,12-16,Deep Red,Jammy,1,57.32,4.2,8.5,4.4,Pizza,18,Wine Glass
25,Red Wine Sangiovese,Antinori,Wine,Red Wine,13.5,28.99,750,Italy,2021,12-16,Medium Red,Acidic,0,38.65,3.8,7.2,4.3,Italian Food,18,Wine Glass
26,Red Wine Tempranillo,Vega Sicilia,Wine,Red Wine,14.0,89.99,750,Spain,2019,12-16,Deep Red,Complex,3,119.99,2.5,4.8,4.8,Tapas,18,Wine Glass
27,Red Wine Grenache,Chateauneuf-du-Pape,Wine,Red Wine,14.5,65.99,750,France,2020,12-16,Medium Red,Fruity,1,87.99,2.8,5.2,4.6,Game,18,Wine Glass
28,Red Wine Nebbiolo,Barolo,Wine,Red Wine,14.2,79.99,750,Italy,2019,12-16,Light Red,Tannic,2,106.65,1.8,3.5,4.7,Truffles,18,Wine Glass
29,Red Wine Barbera,Vietti,Wine,Red Wine,13.8,32.99,750,Italy,2021,12-16,Medium Red,Acidic,0,43.99,2.2,4.2,4.4,Pasta,18,Wine Glass
30,Red Wine Dolcetto,Vietti,Wine,Red Wine,13.5,28.99,750,Italy,2021,12-16,Medium Red,Fruity,0,38.65,1.5,2.8,4.3,Light Meals,18,Wine Glass
31,Beer Lager,Heineken,Beer,Lager,5.0,1.99,330,Netherlands,2022,4-6,Golden,Crisp,0,6.03,45.2,18.5,4.2,Pretzels,4,Pint Glass
32,Beer IPA,Sierra Nevada,Beer,IPA,6.8,2.49,355,USA,2022,6-8,Amber,Hoppy,0,7.01,28.5,12.8,4.4,Spicy Food,4,Pint Glass
33,Beer Stout,Guinness,Beer,Stout,4.2,2.99,440,Ireland,2022,4-6,Dark Black,Creamy,0,6.80,15.8,8.2,4.5,Oysters,4,Pint Glass
34,Beer Wheat,Blue Moon,Beer,Wheat,5.4,2.29,355,USA,2022,4-6,Pale Yellow,Light,0,6.45,12.5,6.8,4.1,Citrus,4,Pint Glass
35,Beer Pilsner,Pilsner Urquell,Beer,Pilsner,4.4,2.19,330,Czech Republic,2022,4-6,Golden,Crisp,0,6.64,18.2,9.5,4.3,Sausages,4,Pint Glass
36,Beer Porter,Founders,Beer,Porter,6.5,2.79,355,USA,2022,6-8,Dark Brown,Rich,0,7.86,8.5,4.2,4.4,Chocolate,4,Pint Glass
37,Beer Saison,Saison Dupont,Beer,Saison,6.5,3.99,330,Belgium,2022,6-8,Pale Gold,Spicy,0,12.09,3.2,1.8,4.6,Cheese,4,Tulip Glass
38,Beer Belgian,Chimay,Beer,Belgian,7.0,4.49,330,Belgium,2022,6-8,Amber,Complex,0,13.61,2.8,1.5,4.7,Rich Food,4,Chalice
39,Beer Bock,Paulaner,Beer,Bock,7.5,2.89,500,Germany,2022,6-8,Amber,Malty,0,5.78,4.5,2.2,4.3,Pork,4,Mug
40,Beer Doppelbock,Spaten,Beer,Doppelbock,7.2,3.29,500,Germany,2022,6-8,Dark Brown,Sweet,0,6.58,2.8,1.2,4.4,Dessert,4,Mug
41,Beer Barleywine,Bigfoot,Beer,Barleywine,9.6,4.99,355,USA,2022,8-12,Deep Amber,Strong,0,14.07,1.2,0.8,4.5,Cheese,4,Snifter
42,Beer Imperial Stout,Russian River,Beer,Imperial Stout,10.5,6.99,355,USA,2022,8-12,Black,Intense,0,19.70,0.8,0.5,4.7,Dark Chocolate,4,Snifter
43,Beer Double IPA,Pliny the Elder,Beer,Double IPA,8.0,5.99,355,USA,2022,8-12,Golden,Very Hoppy,0,16.89,1.5,0.9,4.8,Spicy Food,4,Pint Glass
44,Beer Sour,Lindemans,Beer,Sour,3.5,3.49,355,Belgium,2022,3-5,Pink,Tart,0,9.83,2.2,1.1,4.4,Fruit,4,Flute
45,Beer Gose,Westbrook,Beer,Gose,4.0,3.79,355,USA,2022,3-5,Pale Yellow,Salty,0,10.68,1.8,0.9,4.3,Seafood,4,Pint Glass
46,Beer Berliner Weisse,Schneider,Beer,Berliner Weisse,3.0,2.99,330,Germany,2022,3-5,Pale Yellow,Light,0,9.06,1.5,0.7,4.2,Light Food,4,Bowl
47,Beer Lambic,Cantillon,Beer,Lambic,5.0,8.99,375,Belgium,2021,4-6,Golden,Funky,1,23.97,0.5,0.3,4.8,Cheese,4,Flute
48,Beer Gueuze,3 Fonteinen,Beer,Gueuze,5.5,12.99,375,Belgium,2020,4-6,Golden,Complex,2,34.64,0.3,0.2,4.9,Rich Food,4,Flute
49,Beer Kriek,Lindemans,Beer,Kriek,3.5,4.99,375,Belgium,2022,3-5,Pink Red,Cherry,0,13.31,0.8,0.4,4.5,Dessert,4,Flute
50,Beer Framboise,Lindemans,Beer,Framboise,3.5,4.99,375,Belgium,2022,3-5,Pink Red,Raspberry,0,13.31,0.6,0.3,4.4,Dessert,4,Flute
51,Sake Junmai,Dassai,Sake,Junmai,15.0,29.99,720,Japan,2022,14-16,Clear,Clean,0,41.65,2.5,1.2,4.6,Sushi,8,Sake Cup
52,Sake Daiginjo,Hakkaisan,Sake,Daiginjo,16.0,45.99,720,Japan,2022,15-17,Clear,Premium,0,63.88,1.8,0.8,4.7,Kaiseki,8,Sake Cup
53,Sake Nigori,Kubota,Sake,Nigori,15.5,24.99,720,Japan,2022,14-16,Cloudy,Creamy,0,34.71,1.2,0.6,4.5,Dessert,8,Sake Cup
54,Sake Honjozo,Gekkeikan,Sake,Honjozo,15.0,18.99,720,Japan,2022,14-16,Clear,Traditional,0,26.38,3.5,1.8,4.3,Tempura,8,Sake Cup
55,Sake Koshu,Kubota,Sake,Koshu,16.0,89.99,720,Japan,2018,15-17,Amber,Aged,5,124.99,0.5,0.2,4.8,Rich Food,8,Sake Cup
56,Sake Sparkling,Hakutsuru,Sake,Sparkling,12.0,22.99,720,Japan,2022,10-14,Clear,Bubbly,0,31.93,0.8,0.4,4.4,Celebration,8,Flute
57,Sake Yuzu,Kubota,Sake,Yuzu,14.0,32.99,720,Japan,2022,12-15,Clear,Citrus,0,45.82,0.6,0.3,4.5,Light Food,8,Sake Cup
58,Sake Plum,Kubota,Sake,Plum,12.0,28.99,720,Japan,2022,10-14,Pink,Fruity,0,40.26,0.4,0.2,4.3,Dessert,8,Sake Cup
59,Sake Ginger,Kubota,Sake,Ginger,13.0,26.99,720,Japan,2022,12-15,Clear,Spicy,0,37.49,0.3,0.1,4.2,Asian Food,8,Sake Cup
60,Sake Honey,Kubota,Sake,Honey,14.0,34.99,720,Japan,2022,12-15,Golden,Sweet,0,48.60,0.2,0.1,4.4,Dessert,8,Sake Cup
61,Vermouth Dry,Martini,Vermouth,Dry,18.0,12.99,750,Italy,2022,15-20,Pale Yellow,Dry,0,17.32,1.8,0.8,4.2,Martini,4,Cocktail Glass
62,Vermouth Sweet,Carpano,Vermouth,Sweet,16.0,18.99,750,Italy,2022,15-20,Red Brown,Sweet,0,25.32,1.2,0.5,4.4,Manhattan,4,Cocktail Glass
63,Vermouth Blanc,Noilly Prat,Vermouth,Blanc,18.0,14.99,750,France,2022,15-20,Pale Yellow,Herbal,0,19.99,0.8,0.3,4.3,Martini,4,Cocktail Glass
64,Vermouth Rouge,Dolin,Vermouth,Rouge,16.0,16.99,750,France,2022,15-20,Red Brown,Rich,0,22.65,0.6,0.2,4.4,Negroni,4,Cocktail Glass
65,Vermouth Rose,Dolin,Vermouth,Rose,16.0,17.99,750,France,2022,15-20,Pink Rose,Floral,0,23.99,0.4,0.1,4.3,Spritz,4,Cocktail Glass
66,Aperitif Campari,Campari,Aperitif,Bitter,25.0,22.99,750,Italy,2022,20-30,Red,Bitter,0,30.65,2.5,1.2,4.5,Negroni,4,Cocktail Glass
67,Aperitif Aperol,Aperol,Aperitif,Bitter,11.0,19.99,750,Italy,2022,10-15,Orange,Sweet,0,26.65,3.2,1.8,4.4,Spritz,4,Cocktail Glass
68,Aperitif Fernet,Fernet Branca,Aperitif,Bitter,39.0,24.99,750,Italy,2022,35-45,Brown,Herbal,0,33.32,0.8,0.4,4.6,Digestif,4,Shot Glass
69,Aperitif Cynar,Cynar,Aperitif,Bitter,16.5,18.99,750,Italy,2022,15-20,Brown,Artichoke,0,25.32,0.6,0.3,4.4,Digestif,4,Cocktail Glass
70,Aperitif Montenegro,Montenegro,Aperitif,Bitter,23.0,21.99,750,Italy,2022,20-30,Amber,Herbal,0,29.32,0.4,0.2,4.5,Digestif,4,Cocktail Glass
71,Liqueur Amaretto,Disaronno,Liqueurs,Amaretto,28.0,24.99,750,Italy,2022,25-30,Brown,Almond,0,33.32,2.8,1.5,4.4,Coffee,4,Shot Glass
72,Liqueur Baileys,Baileys,Liqueurs,Cream,17.0,22.99,750,Ireland,2022,15-20,Brown,Creamy,0,30.65,4.2,2.8,4.5,Coffee,4,Shot Glass
