# Programming Languages Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Language_Name,Release_Year,Creator,Paradigm,Typing_System,Popularity_Rank_2024,GitHub_Stars_Millions,Companies_Using,Learning_Difficulty,Performance_Rating,Memory_Management,Platform_Support
1,Python,1991,Guido van Rossum,Multi-paradigm,Dynamic,1,15.2,Google,Facebook,Netflix,Medium,7,Automatic,Cross-platform
2,JavaScript,1995,Brendan Eich,Multi-paradigm,Dynamic,2,12.8,Google,Facebook,Netflix,Medium,6,Automatic,Cross-platform
3,Java,1995,James Gosling,Object-oriented,Static,3,8.9,Google,Amazon,Microsoft,Medium,8,Automatic,Cross-platform
4,C,1972,Dennis Ritchie,Procedural,Static,4,6.7,Microsoft,Apple,Google,Hard,9,Manual,Cross-platform
5,C++,1985,Bjarne Stroustrup,Multi-paradigm,Static,5,5.4,Google,Microsoft,Adobe,Hard,9,Manual,Cross-platform
6,C#,2000,Microsoft,Object-oriented,Static,6,4.2,Microsoft,Unity,Stack Overflow,Medium,8,Automatic,Windows
7,PHP,1995,Rasmus Lerdorf,Multi-paradigm,Dynamic,7,3.8,Facebook,WordPress,Wikipedia,Medium,5,Automatic,Cross-platform
8,Go,2009,Google,Procedural,Static,8,3.2,Google,Docker,Kubernetes,Easy,8,Automatic,Cross-platform
9,Rust,2010,Mozilla,Multi-paradigm,Static,9,2.9,Mozilla,Dropbox,Discord,Hard,9,Manual,Cross-platform
10,Swift,2014,Apple,Multi-paradigm,Static,10,2.6,Apple,Uber,Airbnb,Medium,8,Automatic,iOS
11,Kotlin,2011,JetBrains,Multi-paradigm,Static,11,2.3,Google,Netflix,Uber,Easy,7,Automatic,Cross-platform
12,TypeScript,2012,Microsoft,Multi-paradigm,Static,12,2.1,Microsoft,Google,Airbnb,Medium,6,Automatic,Cross-platform
13,Scala,2003,Martin Odersky,Multi-paradigm,Static,13,1.8,Twitter,LinkedIn,Netflix,Hard,8,Automatic,JVM
14,R,1993,Ross Ihaka,Multi-paradigm,Dynamic,14,1.6,Google,Microsoft,Facebook,Medium,6,Automatic,Cross-platform
15,MATLAB,1984,MathWorks,Multi-paradigm,Dynamic,15,1.4,MathWorks,NASA,Boeing,Medium,7,Automatic,Cross-platform
16,Perl,1987,Larry Wall,Multi-paradigm,Dynamic,16,1.2,Amazon,Craigslist,Booking.com,Hard,6,Automatic,Cross-platform
17,Ruby,1995,Yukihiro Matsumoto,Object-oriented,Dynamic,17,1.1,GitHub,Shopify,Airbnb,Easy,5,Automatic,Cross-platform
18,Haskell,1990,Simon Peyton Jones,Functional,Static,18,0.9,Facebook,Google,Microsoft,Hard,8,Automatic,Cross-platform
19,Clojure,2007,Rich Hickey,Functional,Dynamic,19,0.8,Amazon,Netflix,CircleCI,Hard,7,Automatic,JVM
20,Erlang,1986,Ericsson,Concurrent,Dynamic,20,0.7,WhatsApp,Discord,Klarna,Hard,7,Automatic,Cross-platform
21,Elixir,2011,José Valim,Concurrent,Dynamic,21,0.6,Discord,Pinterest,WhatsApp,Medium,7,Automatic,Cross-platform
22,Dart,2011,Google,Object-oriented,Static,22,0.5,Google,Alibaba,BMW,Easy,7,Automatic,Cross-platform
23,Lua,1993,Roberto Ierusalimschy,Multi-paradigm,Dynamic,23,0.4,Roblox,Wikipedia,Angry Birds,Easy,8,Automatic,Cross-platform
24,Julia,2012,Jeff Bezanson,Multi-paradigm,Dynamic,24,0.3,NASA,BlackRock,Intel,Medium,9,Automatic,Cross-platform
25,Crystal,2014,Ary Borenszweig,Object-oriented,Static,25,0.2,Manas,84codes,NeuraLegion,Easy,8,Automatic,Cross-platform
26,Nim,2008,Andreas Rumpf,Multi-paradigm,Static,26,0.2,Status,Embarcadero,Chess.com,Medium,8,Manual,Cross-platform
27,Zig,2016,Andrew Kelley,System,Static,27,0.1,Bun,Bun,Discord,Hard,9,Manual,Cross-platform
28,V,2019,Alexander Medvednikov,System,Static,28,0.1,V,V,V,Medium,8,Manual,Cross-platform
29,Odin,2016,Ginger Bill,System,Static,29,0.1,Odin,Odin,Odin,Medium,8,Manual,Cross-platform
30,D,2001,Walter Bright,System,Static,30,0.1,Facebook,Netflix,WeChat,Hard,8,Manual,Cross-platform
31,F#,2005,Microsoft,Functional,Static,31,0.1,Microsoft,Microsoft,Microsoft,Medium,7,Automatic,.NET
32,OCaml,1996,Xavier Leroy,Functional,Static,32,0.1,Facebook,Jane Street,Ahrefs,Hard,8,Automatic,Cross-platform
33,Elm,2012,Evan Czaplicki,Functional,Static,33,0.1,NoRedInk,CircuitHub,Prezi,Medium,6,Automatic,Web
34,PureScript,2013,Phil Freeman,Functional,Static,34,0.1,Lumi,Unfold,Polyglot,Hard,7,Automatic,Cross-platform
35,Idris,2007,Edwin Brady,Functional,Static,35,0.1,Idris,Idris,Idris,Hard,7,Automatic,Cross-platform
36,Agda,2007,Ulf Norell,Functional,Static,36,0.1,Agda,Agda,Agda,Hard,6,Automatic,Cross-platform
37,Coq,1989,INRIA,Functional,Static,37,0.1,INRIA,INRIA,INRIA,Hard,6,Automatic,Cross-platform
38,Lean,2013,Microsoft,Functional,Static,38,0.1,Microsoft,Microsoft,Microsoft,Hard,7,Automatic,Cross-platform
39,Isabelle,1986,Larry Paulson,Functional,Static,39,0.1,Isabelle,Isabelle,Isabelle,Hard,6,Automatic,Cross-platform
40,HOL,1988,Mike Gordon,Functional,Static,40,0.1,HOL,HOL,HOL,Hard,6,Automatic,Cross-platform
41,Assembly,1949,John von Neumann,Imperative,None,41,0.1,Intel,AMD,ARM,Hard,10,Manual,Platform-specific
42,COBOL,1959,Grace Hopper,Procedural,Static,42,0.1,IBM,IBM,IBM,Hard,5,Manual,Mainframe
43,Fortran,1957,John Backus,Procedural,Static,43,0.1,NASA,NASA,NASA,Hard,8,Manual,Cross-platform
44,Lisp,1958,John McCarthy,Functional,Dynamic,44,0.1,Google,Google,Google,Hard,7,Automatic,Cross-platform
45,Prolog,1972,Alain Colmerauer,Logic,Dynamic,45,0.1,IBM,IBM,IBM,Hard,6,Automatic,Cross-platform
46,Smalltalk,1972,Alan Kay,Object-oriented,Dynamic,46,0.1,IBM,IBM,IBM,Medium,6,Automatic,Cross-platform
47,Ada,1980,Jean Ichbiah,Object-oriented,Static,47,0.1,Boeing,Boeing,Boeing,Hard,8,Manual,Cross-platform
48,Pascal,1970,Niklaus Wirth,Procedural,Static,48,0.1,Borland,Borland,Borland,Medium,7,Manual,Cross-platform
49,BASIC,1964,John Kemeny,Procedural,Dynamic,49,0.1,Microsoft,Microsoft,Microsoft,Easy,5,Automatic,Cross-platform
50,Logo,1967,Seymour Papert,Educational,Dynamic,50,0.1,Logo,Logo,Logo,Easy,4,Automatic,Cross-platform
51,APL,1962,Kenneth Iverson,Array,Dynamic,51,0.1,IBM,IBM,IBM,Hard,7,Automatic,Cross-platform
52,Forth,1970,Charles Moore,Stack,Dynamic,52,0.1,Forth,Forth,Forth,Hard,8,Manual,Cross-platform
53,Tcl,1988,John Ousterhout,Scripting,Dynamic,53,0.1,Sun,Sun,Sun,Medium,5,Automatic,Cross-platform
54,Awk,1977,Alfred Aho,Scripting,Dynamic,54,0.1,Bell Labs,Bell Labs,Bell Labs,Medium,6,Automatic,Unix
55,Sed,1974,Lee McMahon,Scripting,Dynamic,55,0.1,Bell Labs,Bell Labs,Bell Labs,Hard,7,Automatic,Unix
56,Bash,1989,Brian Fox,Scripting,Dynamic,56,0.1,GNU,GNU,GNU,Medium,6,Automatic,Unix
57,Zsh,1990,Paul Falstad,Scripting,Dynamic,57,0.1,Zsh,Zsh,Zsh,Medium,6,Automatic,Unix
58,Fish,2005,Axel Liljencrantz,Scripting,Dynamic,58,0.1,Fish,Fish,Fish,Easy,6,Automatic,Unix
59,Powershell,2006,Microsoft,Scripting,Dynamic,59,0.1,Microsoft,Microsoft,Microsoft,Medium,6,Automatic,Windows
60,VBScript,1996,Microsoft,Scripting,Dynamic,60,0.1,Microsoft,Microsoft,Microsoft,Medium,5,Automatic,Windows
61,JScript,1996,Microsoft,Scripting,Dynamic,61,0.1,Microsoft,Microsoft,Microsoft,Medium,5,Automatic,Windows
62,ActionScript,2000,Macromedia,Object-oriented,Dynamic,62,0.1,Adobe,Adobe,Adobe,Medium,6,Automatic,Flash
63,Lua,1993,Roberto Ierusalimschy,Multi-paradigm,Dynamic,63,0.1,Roblox,Wikipedia,Angry Birds,Easy,8,Automatic,Cross-platform
64,GameMaker Language,1999,Mark Overmars,Object-oriented,Dynamic,64,0.1,YoYo Games,YoYo Games,YoYo Games,Easy,5,Automatic,Cross-platform
65,UnrealScript,1998,Epic Games,Object-oriented,Dynamic,65,0.1,Epic Games,Epic Games,Epic Games,Medium,7,Automatic,Unreal Engine
66,HLSL,2002,Microsoft,Shader,Static,66,0.1,Microsoft,Microsoft,Microsoft,Hard,8,Manual,DirectX
67,GLSL,2004,Khronos Group,Shader,Static,67,0.1,Khronos,Khronos,Khronos,Hard,8,Manual,OpenGL
68,Cg,2002,NVIDIA,Shader,Static,68,0.1,NVIDIA,NVIDIA,NVIDIA,Hard,8,Manual,GPU
69,SPIR-V,2015,Khronos Group,Intermediate,Static,69,0.1,Khronos,Khronos,Khronos,Hard,8,Manual,Vulkan
70,WebAssembly,2017,W3C,Compiled,Static,70,0.1,Mozilla,Mozilla,Mozilla,Hard,9,Manual,Web
71,Solidity,2014,Gavin Wood,Object-oriented,Static,71,0.1,Ethereum,Ethereum,Ethereum,Medium,6,Automatic,Ethereum
72,Vyper,2017,Vitalik Buterin,Python-like,Static,72,0.1,Ethereum,Ethereum,Ethereum,Medium,6,Automatic,Ethereum
73,Move,2020,Facebook,Resource-oriented,Static,73,0.1,Facebook,Facebook,Facebook,Medium,7,Automatic,Blockchain
74,Cadence,2019,Dapper Labs,Resource-oriented,Static,74,0.1,Dapper Labs,Dapper Labs,Dapper Labs,Medium,7,Automatic,Flow
75,Scilla,2018,Zilliqa,Functional,Static,75,0.1,Zilliqa,Zilliqa,Zilliqa,Hard,7,Automatic,Zilliqa
76,Michelson,2014,Tezos,Stack-based,Static,76,0.1,Tezos,Tezos,Tezos,Hard,7,Manual,Tezos
77,Plutus,2017,IOHK,Functional,Static,77,0.1,IOHK,IOHK,IOHK,Hard,7,Automatic,Cardano
78,Marlowe,2018,IOHK,Domain-specific,Static,78,0.1,IOHK,IOHK,IOHK,Medium,6,Automatic,Cardano
79,Simplicity,2017,Blockstream,Functional,Static,79,0.1,Blockstream,Blockstream,Blockstream,Hard,7,Automatic,Bitcoin
80,Bitcoin Script,2009,Satoshi Nakamoto,Stack-based,Static,80,0.1,Bitcoin,Bitcoin,Bitcoin,Hard,6,Manual,Bitcoin
81,Monkey C,2013,Garmin,C-like,Static,81,0.1,Garmin,Garmin,Garmin,Medium,7,Manual,Garmin
82,WatchKit,2014,Apple,Object-oriented,Static,82,0.1,Apple,Apple,Apple,Medium,7,Automatic,watchOS
83,WatchOS,2015,Apple,System,Static,83,0.1,Apple,Apple,Apple,Hard,8,Manual,Apple Watch
84,tvOS,2015,Apple,System,Static,84,0.1,Apple,Apple,Apple,Hard,8,Manual,Apple TV
85,macOS,2001,Apple,System,Static,85,0.1,Apple,Apple,Apple,Hard,8,Manual,Mac
86,iOS,2007,Apple,System,Static,86,0.1,Apple,Apple,Apple,Hard,8,Manual,iPhone
87,Android,2008,Google,System,Static,87,0.1,Google,Google,Google,Hard,8,Manual,Android
88,Windows,1985,Microsoft,System,Static,88,0.1,Microsoft,Microsoft,Microsoft,Hard,8,Manual,PC
89,Linux,1991,Linus Torvalds,System,Static,89,0.1,Linux,Linux,Linux,Hard,8,Manual,Unix
90,FreeBSD,1993,FreeBSD,System,Static,90,0.1,FreeBSD,FreeBSD,FreeBSD,Hard,8,Manual,Unix
91,OpenBSD,1995,OpenBSD,System,Static,91,0.1,OpenBSD,OpenBSD,OpenBSD,Hard,8,Manual,Unix
92,NetBSD,1993,NetBSD,System,Static,92,0.1,NetBSD,NetBSD,NetBSD,Hard,8,Manual,Unix
93,DragonFly BSD,2003,DragonFly,System,Static,93,0.1,DragonFly,DragonFly,DragonFly,Hard,8,Manual,Unix
94,Minix,1987,Andrew Tanenbaum,System,Static,94,0.1,Minix,Minix,Minix,Hard,8,Manual,Unix
95,QNX,1982,QNX,System,Static,95,0.1,QNX,QNX,QNX,Hard,8,Manual,Real-time
96,VxWorks,1987,Wind River,System,Static,96,0.1,Wind River,Wind River,Wind River,Hard,8,Manual,Real-time
97,FreeRTOS,2003,Real Time Engineers,System,Static,97,0.1,Real Time Engineers,Real Time Engineers,Real Time Engineers,Hard,8,Manual,Real-time
98,Zephyr,2016,Linux Foundation,System,Static,98,0.1,Linux Foundation,Linux Foundation,Linux Foundation,Hard,8,Manual,Real-time
99,mbed OS,2014,ARM,System,Static,99,0.1,ARM,ARM,ARM,Hard,8,Manual,Real-time
100,Tizen,2012,Linux Foundation,System,Static,100,0.1,Linux Foundation,Linux Foundation,Linux Foundation,Hard,8,Manual,Cross-platform
