# Seasonal Food Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Food_Name,Region,Country,Season,Availability_Months,Peak_Month,Price_USD_Per_Kg,Harvest_Method,Storage_Days,Climate_Requirements,Popularity_Rating,Nutritional_Value,Calories_Per_100g,Protein_g,Fat_g,Carbohydrates_g,Fiber_g,Vitamin_C_mg,Calcium_mg,Iron_mg,Market_Demand_Percent,Export_Percent,Local_Consumption_Percent,Processing_Methods,Preservation_Methods,Shelf_Life_Days,Quality_Grade,Organic_Available,Traditional_Uses,Cultural_Significance
1,Strawberries,California,USA,Spring,"Mar-May",April,8.99,Hand Picked,7,Temperate,4.6,High,32,0.7,0.3,7.7,2.0,58.8,16,0.4,85,25,75,Fresh,Refrigeration,7,Premium,Yes,Desserts,High
2,Cherries,Washington,USA,Summer,"Jun-Aug",July,12.99,Hand Picked,14,Temperate,4.7,High,63,1.1,0.2,16.0,2.1,7.0,13,0.4,90,30,70,Fresh,Refrigeration,14,Premium,Yes,Desserts,High
3,Apples,New York,USA,Fall,"Sep-Nov",October,3.99,Machine Harvested,120,Temperate,4.4,Medium,52,0.3,0.2,13.8,2.4,4.6,6,0.1,95,40,60,Fresh,Controlled Atmosphere,120,Standard,Yes,Cooking,Medium
4,Pumpkins,Illinois,USA,Fall,"Sep-Nov",October,2.99,Machine Harvested,90,Temperate,4.3,Medium,26,1.0,0.1,6.5,0.5,9.0,21,0.8,80,20,80,Fresh,Cool Storage,90,Standard,Yes,Cooking,High
5,Asparagus,Michigan,USA,Spring,"Apr-Jun",May,9.99,Hand Picked,10,Temperate,4.5,High,20,2.2,0.1,3.9,2.1,5.6,24,2.1,70,15,85,Fresh,Refrigeration,10,Premium,Yes,Cooking,Medium
6,Peaches,Georgia,USA,Summer,"Jun-Aug",July,4.99,Hand Picked,14,Temperate,4.5,Medium,39,0.9,0.3,9.5,1.5,6.6,6,0.3,85,25,75,Fresh,Refrigeration,14,Standard,Yes,Fresh Eating,Medium
7,Corn,Iowa,USA,Summer,"Jul-Sep",August,1.99,Machine Harvested,7,Temperate,4.3,Medium,86,3.3,1.0,20.0,2.7,6.8,2,0.5,95,30,70,Fresh,Refrigeration,7,Standard,Yes,Cooking,High
8,Tomatoes,Florida,USA,Summer,"May-Sep",July,3.99,Machine Harvested,14,Tropical,4.4,Medium,18,0.9,0.2,3.9,1.2,13.7,10,0.3,90,35,65,Fresh,Refrigeration,14,Standard,Yes,Cooking,High
9,Blueberries,Maine,USA,Summer,"Jul-Aug",August,15.99,Hand Picked,21,Temperate,4.7,High,57,0.7,0.3,14.5,2.4,9.7,6,0.3,80,20,80,Fresh,Refrigeration,21,Premium,Yes,Desserts,Medium
10,Cranberries,Wisconsin,USA,Fall,"Sep-Nov",October,8.99,Machine Harvested,60,Temperate,4.2,High,46,0.4,0.1,12.0,4.6,13.3,8,0.2,60,40,60,Processed,Freezing,60,Standard,Yes,Cooking,High
11,Mangoes,Florida,USA,Summer,"May-Sep",July,4.99,Hand Picked,14,Tropical,4.6,High,60,0.8,0.4,15.0,1.6,36.4,11,0.2,75,25,75,Fresh,Refrigeration,14,Standard,Yes,Fresh Eating,Medium
12,Avocados,California,USA,Year-Round,"Jan-Dec",March,6.99,Hand Picked,21,Subtropical,4.8,High,160,2.0,14.7,8.5,6.7,10.0,12,0.6,95,50,50,Fresh,Controlled Atmosphere,21,Premium,Yes,Fresh Eating,High
13,Oranges,Florida,USA,Winter,"Dec-Mar",January,2.99,Machine Harvested,30,Subtropical,4.5,High,47,0.9,0.1,11.8,2.4,53.2,40,0.1,90,45,55,Fresh,Refrigeration,30,Standard,Yes,Fresh Eating,Medium
14,Grapefruits,Florida,USA,Winter,"Dec-Mar",February,3.99,Machine Harvested,30,Subtropical,4.3,High,42,0.8,0.1,10.7,1.6,31.2,22,0.1,70,30,70,Fresh,Refrigeration,30,Standard,Yes,Fresh Eating,Low
15,Lemons,California,USA,Year-Round,"Jan-Dec",June,4.99,Machine Harvested,60,Subtropical,4.4,Medium,29,1.1,0.3,9.3,2.8,53.0,26,0.6,85,40,60,Fresh,Refrigeration,60,Standard,Yes,Cooking,Medium
16,Limes,Florida,USA,Summer,"May-Sep",July,5.99,Machine Harvested,30,Tropical,4.3,Medium,30,0.7,0.2,10.5,2.8,29.1,33,0.6,80,35,65,Fresh,Refrigeration,30,Standard,Yes,Cooking,Medium
17,Artichokes,California,USA,Spring,"Mar-May",April,7.99,Hand Picked,14,Temperate,4.1,High,47,3.3,0.2,10.5,5.4,11.7,44,1.3,60,20,80,Fresh,Refrigeration,14,Premium,Yes,Cooking,Low
18,Rhubarb,Michigan,USA,Spring,"Apr-Jun",May,6.99,Hand Picked,21,Temperate,4.0,Medium,21,0.9,0.2,4.5,1.8,8.0,86,0.2,50,10,90,Fresh,Refrigeration,21,Standard,Yes,Cooking,Low
19,Blackberries,Oregon,USA,Summer,"Jul-Aug",August,12.99,Hand Picked,7,Temperate,4.5,High,43,1.4,0.5,9.6,5.3,21.0,29,0.6,70,15,85,Fresh,Refrigeration,7,Premium,Yes,Desserts,Medium
