# Packaged Food Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Product_Name,Brand,Category,Ingredients_Count,Allergens,Gluten_Free,Dairy_Free,Nut_Free,Soy_Free,Shelf_Life_Days,Storage_Temperature,Preservatives_Count,Additives_Count,Sodium_mg,Sugar_g,Fat_g,Protein_g,Fiber_g,Calories,Serving_Size_g,Price_USD,Origin_Country,Certification,Net_Weight_g,Container_Type,Recyclable,Expiration_Date,Manufacturing_Date,Barcode,Popularity_Rating
1,Crackers Saltine,Nabisco,Pantry,8,"Wheat, Soy",No,Yes,Yes,No,365,Room Temperature,2,3,1093,2.0,10.0,8.0,3.0,421,30,2.29,USA,Conventional,454,Box,Yes,2024-05-31,2023-05-31,044000000123,4.2
2,Cookies Chocolate Chip,Chips Ahoy,Pantry,12,"Wheat, Soy, Milk",No,No,Yes,No,90,Room Temperature,3,5,370,25.0,22.0,4.0,2.0,488,30,3.49,USA,Conventional,300,Box,Yes,2024-04-30,2023-04-30,044000000124,4.4
3,Cereal Cheerios,General Mills,Pantry,12,"Oats",Yes,Yes,Yes,Yes,365,Room Temperature,1,2,700,3.0,6.0,7.0,9.0,376,30,4.49,USA,Conventional,375,Box,Yes,2024-08-31,2023-08-31,016000000125,4.6
4,Pasta Spaghetti,Barilla,Pantry,2,"Wheat",No,Yes,Yes,Yes,730,Room Temperature,0,0,6,1.0,1.1,5.0,1.8,131,100,1.49,Italy,Conventional,500,Box,Yes,2024-06-30,2023-06-30,076808000126,4.4
5,Rice White,Uncle Ben's,Pantry,1,"None",Yes,Yes,Yes,Yes,1095,Room Temperature,0,0,5,0.0,0.3,2.7,0.4,130,100,1.99,USA,Conventional,1000,Bag,Yes,2024-12-31,2023-12-31,041000000127,4.3
6,Peanut Butter,Jif,Pantry,3,"Peanuts",Yes,Yes,No,Yes,365,Room Temperature,1,1,476,3.0,50.0,25.0,6.0,588,32,3.99,USA,Conventional,510,Jar,Yes,2024-03-31,2023-03-31,048000000128,4.6
7,Canned Tomatoes,Hunt's,Pantry,2,"None",Yes,Yes,Yes,Yes,730,Room Temperature,0,1,220,4.0,0.2,1.0,1.2,20,125,1.29,USA,Conventional,400,Can,Yes,2024-12-31,2023-12-31,041000000129,4.3
8,Canned Beans,Bush's,Pantry,3,"None",Yes,Yes,Yes,Yes,1095,Room Temperature,0,1,430,1.0,0.5,6.0,5.0,90,130,1.49,USA,Conventional,425,Can,Yes,2025-12-31,2023-12-31,041000000130,4.4
9,Canned Corn,Green Giant,Pantry,2,"None",Yes,Yes,Yes,Yes,730,Room Temperature,0,1,1,3.0,1.0,3.3,2.7,86,125,1.99,USA,Conventional,341,Can,Yes,2024-12-31,2023-12-31,041000000131,4.3
10,Canned Tuna,StarKist,Pantry,2,"Fish",Yes,Yes,Yes,Yes,1095,Room Temperature,0,0,270,0.0,1.0,25.0,0.0,100,85,2.99,USA,Conventional,142,Can,Yes,2025-12-31,2023-12-31,041000000132,4.5
