# Street Food Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Food_Name,Country,City,Region,Food_Type,Price_USD,Popularity_Rating,Preparation_Time_Minutes,Main_Ingredients,Spice_Level,Vegetarian_Option,Gluten_Free_Option,Dairy_Free_Option,Street_Vendor_Count,Peak_Hours,Weather_Dependency,Seasonal_Availability,Health_Rating,Calories_Per_Serving,Protein_g,Fat_g,Carbohydrates_g,Fiber_g,Sodium_mg,Preparation_Method,Cooking_Equipment,Service_Style,Average_Daily_Sales,Market_Share_Percent
1,Tacos,Mexico,Mexico City,Central America,Main Course,2.50,4.8,5,"Corn Tortilla, Meat, Onions, Cilantro",Medium,Yes,Yes,Yes,15000,12:00-14:00,Low,Year-Round,3.5,350,20.0,15.0,25.0,3.0,450,Grilled,Grill,Walk-up,500,25.2
2,Pad Thai,Thailand,Bangkok,Southeast Asia,Noodles,3.00,4.7,8,"Rice Noodles, Shrimp, Bean Sprouts, Peanuts",Medium,Yes,Yes,Yes,8000,18:00-22:00,Low,Year-Round,3.8,420,18.0,12.0,45.0,2.0,680,Stir-fried,Wok,Walk-up,300,18.5
3,Falafel,Israel,Tel Aviv,Middle East,Snack,2.00,4.6,6,"Chickpeas, Herbs, Spices",Medium,Yes,Yes,Yes,5000,11:00-15:00,Low,Year-Round,4.2,280,12.0,8.0,35.0,8.0,320,Fried,Deep Fryer,Walk-up,400,15.8
4,Churros,Spain,Madrid,Western Europe,Dessert,1.50,4.5,4,"Flour, Sugar, Cinnamon",Low,Yes,No,Yes,3000,16:00-20:00,Low,Year-Round,2.8,180,3.0,8.0,28.0,1.0,150,Fried,Deep Fryer,Walk-up,200,8.2
5,Kebab,Turkey,Istanbul,Middle East,Main Course,4.00,4.7,7,"Lamb, Bread, Vegetables",Medium,Yes,Yes,Yes,12000,19:00-23:00,Low,Year-Round,3.9,480,25.0,18.0,35.0,4.0,520,Grilled,Rotisserie,Walk-up,350,22.1
6,Crepes,France,Paris,Western Europe,Main Course,3.50,4.4,6,"Flour, Eggs, Milk, Fillings",Low,Yes,No,No,4000,12:00-14:00,Medium,Year-Round,3.6,320,12.0,10.0,35.0,2.0,280,Fried,Griddle,Walk-up,150,12.5
7,Baozi,China,Beijing,East Asia,Main Course,1.00,4.8,10,"Flour, Pork, Vegetables",Low,Yes,No,Yes,20000,07:00-09:00,Low,Year-Round,3.7,250,8.0,5.0,40.0,2.0,380,Steamed,Steamer,Walk-up,800,28.5
8,Arepas,Colombia,Bogotá,South America,Main Course,2.00,4.6,8,"Cornmeal, Cheese, Meat",Low,Yes,Yes,No,6000,12:00-15:00,Low,Year-Round,3.8,300,12.0,8.0,35.0,3.0,420,Grilled,Griddle,Walk-up,250,16.8
9,Bánh Mì,Vietnam,Ho Chi Minh City,Southeast Asia,Sandwich,2.50,4.7,5,"Baguette, Pork, Vegetables",Medium,Yes,No,Yes,7000,11:00-14:00,Low,Year-Round,3.9,380,15.0,12.0,45.0,3.0,580,Assembled,Cold Prep,Walk-up,300,19.2
10,Empanadas,Argentina,Buenos Aires,South America,Snack,1.50,4.5,6,"Dough, Meat, Vegetables",Low,Yes,No,Yes,8000,15:00-18:00,Low,Year-Round,3.4,220,8.0,10.0,25.0,2.0,350,Fried,Deep Fryer,Walk-up,400,14.5
11,Gyros,Greece,Athens,Western Europe,Main Course,3.50,4.6,5,"Pita, Lamb, Vegetables",Medium,Yes,Yes,Yes,5000,19:00-22:00,Low,Year-Round,3.8,420,20.0,15.0,35.0,3.0,480,Grilled,Rotisserie,Walk-up,200,13.8
12,Samosa,India,Mumbai,South Asia,Snack,0.50,4.8,4,"Dough, Potatoes, Spices",High,Yes,Yes,Yes,25000,16:00-19:00,Low,Year-Round,3.2,180,4.0,8.0,25.0,2.0,280,Fried,Deep Fryer,Walk-up,600,32.5
13,Takoyaki,Japan,Osaka,East Asia,Snack,2.00,4.7,3,"Batter, Octopus, Sauce",Low,No,No,Yes,3000,18:00-21:00,Low,Year-Round,3.5,150,8.0,6.0,15.0,1.0,320,Fried,Takoyaki Pan,Walk-up,150,9.8
14,Ceviche,Peru,Lima,South America,Main Course,4.00,4.6,8,"Fish, Lime, Onions",Medium,No,Yes,Yes,2000,12:00-15:00,Low,Year-Round,4.1,200,25.0,2.0,8.0,1.0,180,Marinated,Cold Prep,Walk-up,100,7.2
15,Jianbing,China,Beijing,East Asia,Main Course,1.50,4.7,4,"Flour, Eggs, Vegetables",Low,Yes,No,Yes,15000,07:00-09:00,Low,Year-Round,3.6,280,10.0,8.0,35.0,2.0,350,Fried,Griddle,Walk-up,500,21.8
16,Poutine,Canada,Montreal,North America,Main Course,5.00,4.5,6,"Fries, Cheese, Gravy",Low,Yes,Yes,No,2000,20:00-02:00,Medium,Year-Round,2.8,650,15.0,35.0,45.0,3.0,1200,Fried,Deep Fryer,Walk-up,80,5.5
17,Currywurst,Germany,Berlin,Western Europe,Main Course,3.00,4.4,5,"Sausage, Curry Sauce",Low,No,Yes,Yes,4000,19:00-22:00,Medium,Year-Round,3.2,380,18.0,20.0,15.0,1.0,800,Grilled,Grill,Walk-up,120,8.8
18,Fish and Chips,United Kingdom,London,Western Europe,Main Course,6.00,4.3,8,"Fish, Potatoes",Low,No,Yes,Yes,3000,12:00-15:00,High,Year-Round,3.0,550,25.0,25.0,35.0,3.0,600,Fried,Deep Fryer,Walk-up,100,6.8
19,Hot Dog,United States,New York,North America,Main Course,3.50,4.2,3,"Sausage, Bun, Condiments",Low,Yes,No,Yes,8000,12:00-15:00,Low,Year-Round,3.1,320,12.0,15.0,25.0,1.0,650,Grilled,Grill,Walk-up,200,11.2
20,Döner Kebab,Turkey,Istanbul,Middle East,Main Course,3.00,4.7,5,"Bread, Meat, Vegetables",Medium,Yes,Yes,Yes,10000,19:00-23:00,Low,Year-Round,3.8,450,22.0,16.0,40.0,3.0,480,Grilled,Rotisserie,Walk-up,300,18.5
21,Bratwurst,Germany,Munich,Western Europe,Main Course,4.00,4.5,4,"Sausage, Bread",Low,No,Yes,Yes,3000,19:00-22:00,Medium,Year-Round,3.3,400,20.0,22.0,15.0,1.0,700,Grilled,Grill,Walk-up,150,9.5
22,Chimney Cake,Hungary,Budapest,Eastern Europe,Dessert,2.50,4.6,6,"Dough, Sugar, Cinnamon",Low,Yes,No,Yes,2000,16:00-20:00,Low,Year-Round,2.9,200,4.0,6.0,35.0,1.0,120,Baked,Oven,Walk-up,80,4.8
23,Lángos,Hungary,Budapest,Eastern Europe,Main Course,2.00,4.4,5,"Dough, Sour Cream, Cheese",Low,Yes,No,No,1500,12:00-15:00,Low,Year-Round,3.0,350,8.0,18.0,30.0,2.0,400,Fried,Deep Fryer,Walk-up,60,3.2
24,Trdelník,Czech Republic,Prague,Eastern Europe,Dessert,2.00,4.5,8,"Dough, Sugar, Nuts",Low,Yes,No,Yes,1000,16:00-20:00,Low,Year-Round,3.1,180,3.0,5.0,30.0,1.0,100,Baked,Oven,Walk-up,40,2.8
25,Kürtőskalács,Hungary,Budapest,Eastern Europe,Dessert,2.50,4.7,10,"Dough, Sugar, Cinnamon",Low,Yes,No,Yes,800,16:00-20:00,Low,Year-Round,3.2,220,4.0,6.0,35.0,1.0,120,Baked,Oven,Walk-up,30,2.1
26,Burek,Bosnia,Sarajevo,Eastern Europe,Main Course,2.50,4.6,8,"Dough, Meat, Cheese",Low,Yes,No,No,2000,12:00-15:00,Low,Year-Round,3.4,320,12.0,15.0,30.0,2.0,450,Baked,Oven,Walk-up,100,5.8
27,Ćevapi,Bosnia,Sarajevo,Eastern Europe,Main Course,3.00,4.7,6,"Meat, Bread, Onions",Medium,No,Yes,Yes,1500,19:00-22:00,Low,Year-Round,3.8,380,20.0,18.0,25.0,2.0,520,Grilled,Grill,Walk-up,80,4.5
28,Pljeskavica,Serbia,Belgrade,Eastern Europe,Main Course,3.50,4.5,7,"Meat, Bread, Vegetables",Medium,No,Yes,Yes,1200,19:00-22:00,Low,Year-Round,3.6,420,22.0,20.0,20.0,2.0,480,Grilled,Grill,Walk-up,70,4.2
29,Kajmak,Serbia,Belgrade,Eastern Europe,Snack,1.50,4.3,2,"Milk, Salt",Low,Yes,No,No,800,12:00-15:00,Low,Year-Round,3.8,120,4.0,10.0,2.0,0.0,200,Fermented,Cold Prep,Walk-up,50,2.8
30,Rakija,Serbia,Belgrade,Eastern Europe,Beverage,2.00,4.4,1,"Fruit, Alcohol",Low,Yes,Yes,Yes,500,19:00-22:00,Low,Year-Round,2.5,80,0.0,0.0,0.0,0.0,5,Distilled,Still,Walk-up,30,1.8
31,Burek,Turkey,Istanbul,Middle East,Main Course,2.00,4.6,8,"Dough, Meat, Cheese",Low,Yes,No,No,3000,12:00-15:00,Low,Year-Round,3.4,320,12.0,15.0,30.0,2.0,450,Baked,Oven,Walk-up,150,8.5
32,Lahmacun,Turkey,Istanbul,Middle East,Main Course,1.50,4.7,5,"Dough, Meat, Vegetables",Medium,No,Yes,Yes,4000,12:00-15:00,Low,Year-Round,3.6,280,15.0,8.0,30.0,2.0,380,Baked,Oven,Walk-up,200,11.2
33,Gözleme,Turkey,Istanbul,Middle East,Main Course,2.50,4.5,6,"Dough, Cheese, Spinach",Low,Yes,No,No,2500,12:00-15:00,Low,Year-Round,3.8,300,10.0,12.0,35.0,3.0,420,Fried,Griddle,Walk-up,120,7.8
34,Kumpir,Turkey,Istanbul,Middle East,Main Course,3.00,4.4,8,"Potato, Cheese, Toppings",Low,Yes,Yes,No,1500,19:00-22:00,Low,Year-Round,3.2,450,12.0,20.0,40.0,4.0,600,Baked,Oven,Walk-up,80,5.5
35,Kokoreç,Turkey,Istanbul,Middle East,Main Course,3.50,4.3,10,"Lamb Intestines, Bread",Medium,No,Yes,Yes,800,19:00-22:00,Low,Year-Round,3.0,380,18.0,16.0,25.0,1.0,520,Grilled,Grill,Walk-up,40,3.2
36,Midye Dolma,Turkey,Istanbul,Middle East,Snack,1.00,4.6,3,"Mussels, Rice, Spices",Medium,Yes,Yes,Yes,2000,16:00-20:00,Low,Year-Round,3.8,80,6.0,2.0,8.0,1.0,200,Steamed,Steamer,Walk-up,100,6.8
37,Balık Ekmek,Turkey,Istanbul,Middle East,Main Course,4.00,4.7,5,"Fish, Bread, Vegetables",Low,No,Yes,Yes,1000,12:00-15:00,Low,Year-Round,4.0,350,20.0,8.0,30.0,2.0,400,Grilled,Grill,Walk-up,60,4.2
38,Simit,Turkey,Istanbul,Middle East,Snack,0.50,4.8,2,"Dough, Sesame Seeds",Low,Yes,Yes,Yes,5000,07:00-09:00,Low,Year-Round,3.9,200,6.0,4.0,35.0,2.0,300,Baked,Oven,Walk-up,300,18.5
39,Ayran,Turkey,Istanbul,Middle East,Beverage,1.00,4.5,1,"Yogurt, Water, Salt",Low,Yes,Yes,No,3000,12:00-15:00,Low,Year-Round,4.2,60,3.0,1.0,8.0,0.0,200,Fermented,Cold Prep,Walk-up,200,12.8
40,Turkish Tea,Turkey,Istanbul,Middle East,Beverage,0.50,4.7,2,"Tea Leaves, Water",Low,Yes,Yes,Yes,8000,08:00-20:00,Low,Year-Round,4.5,5,0.0,0.0,1.0,0.0,5,Brewed,Tea Pot,Walk-up,500,28.5
41,Churros,Spain,Madrid,Western Europe,Dessert,1.50,4.5,4,"Flour, Sugar, Cinnamon",Low,Yes,No,Yes,3000,16:00-20:00,Low,Year-Round,2.8,180,3.0,8.0,28.0,1.0,150,Fried,Deep Fryer,Walk-up,200,8.2
42,Paella,Spain,Valencia,Western Europe,Main Course,8.00,4.6,25,"Rice, Seafood, Saffron",Medium,Yes,Yes,Yes,500,13:00-15:00,Low,Year-Round,4.0,450,20.0,12.0,50.0,2.0,600,Simmered,Paella Pan,Walk-up,30,2.8
43,Tortilla Española,Spain,Madrid,Western Europe,Main Course,3.00,4.4,15,"Potatoes, Eggs, Onions",Low,Yes,Yes,Yes,2000,12:00-15:00,Low,Year-Round,3.8,280,12.0,15.0,20.0,2.0,400,Fried,Pan,Walk-up,100,6.5
44,Gazpacho,Spain,Seville,Western Europe,Soup,2.50,4.3,5,"Tomatoes, Cucumber, Bread",Low,Yes,No,Yes,800,12:00-15:00,Low,Summer,4.2,80,2.0,2.0,15.0,2.0,300,Blended,Cold Prep,Walk-up,50,3.2
45,Jamón Ibérico,Spain,Madrid,Western Europe,Snack,5.00,4.8,2,"Iberian Ham",Low,No,Yes,Yes,1000,12:00-15:00,Low,Year-Round,3.9,200,25.0,8.0,0.0,0.0,800,Cured,Cold Prep,Walk-up,40,2.5
46,Churros con Chocolate,Spain,Madrid,Western Europe,Dessert,2.50,4.6,5,"Churros, Chocolate Sauce",Low,Yes,No,No,2000,16:00-20:00,Low,Year-Round,2.9,250,4.0,12.0,35.0,2.0,200,Fried,Deep Fryer,Walk-up,120,5.8
47,Pinchos,Spain,San Sebastián,Western Europe,Snack,1.50,4.7,3,"Bread, Toppings",Low,Yes,Yes,Yes,1500,19:00-22:00,Low,Year-Round,3.6,150,8.0,6.0,15.0,1.0,250,Assembled,Cold Prep,Walk-up,80,4.5
48,Tapas,Spain,Madrid,Western Europe,Snack,2.00,4.5,4,"Various Small Dishes",Medium,Yes,Yes,Yes,3000,19:00-22:00,Low,Year-Round,3.8,120,6.0,8.0,10.0,1.0,300,Assembled,Cold Prep,Walk-up,150,8.8
49,Sangria,Spain,Madrid,Western Europe,Beverage,3.00,4.4,2,"Wine, Fruit, Brandy",Low,Yes,Yes,Yes,1000,19:00-22:00,Low,Year-Round,3.2,100,1.0,0.0,8.0,0.0,10,Mixed,Cold Prep,Walk-up,60,3.8
50,Horchata,Spain,Valencia,Western Europe,Beverage,2.00,4.3,3,"Tiger Nuts, Sugar",Low,Yes,Yes,Yes,800,12:00-15:00,Low,Year-Round,3.5,120,2.0,3.0,20.0,1.0,50,Blended,Cold Prep,Walk-up,40,2.8
51,Fish and Chips,United Kingdom,London,Western Europe,Main Course,6.00,4.3,8,"Fish, Potatoes",Low,No,Yes,Yes,3000,12:00-15:00,High,Year-Round,3.0,550,25.0,25.0,35.0,3.0,600,Fried,Deep Fryer,Walk-up,100,6.8
52,Bangers and Mash,United Kingdom,London,Western Europe,Main Course,5.50,4.2,10,"Sausages, Potatoes",Low,No,Yes,Yes,1500,12:00-15:00,Medium,Year-Round,3.2,480,20.0,22.0,35.0,3.0,800,Boiled,Pot,Walk-up,60,4.2
53,Shepherd's Pie,United Kingdom,London,Western Europe,Main Course,6.50,4.1,15,"Meat, Potatoes, Vegetables",Low,No,Yes,Yes,800,12:00-15:00,Medium,Year-Round,3.4,420,18.0,20.0,30.0,4.0,650,Baked,Oven,Walk-up,40,2.8
54,Scotch Egg,United Kingdom,London,Western Europe,Snack,2.50,4.0,5,"Egg, Sausage, Breadcrumbs",Low,No,Yes,Yes,1000,12:00-15:00,Medium,Year-Round,3.1,280,12.0,18.0,15.0,1.0,500,Fried,Deep Fryer,Walk-up,50,3.5
55,Black Pudding,United Kingdom,London,Western Europe,Snack,3.00,3.9,3,"Blood, Oats, Spices",Low,No,Yes,Yes,500,12:00-15:00,Medium,Year-Round,3.0,200,8.0,12.0,15.0,2.0,400,Fried,Pan,Walk-up,30,2.1
