# Recipe Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Recipe_Name,Cuisine_Type,Prep_Time_Minutes,Cook_Time_Minutes,Total_Time_Minutes,Difficulty_Level,Servings,Calories_Per_Serving,Main_Ingredients,Cooking_Method,Dietary_Tags,Rating_Out_Of_5,Popularity_Score
1,Spaghetti Carbonara,Italian,15,20,35,Medium,4,520,Pasta Eggs Bacon Parmesan,Boiling Frying,Non-Vegetarian,4.7,95
2,Chicken Tikka Masala,Indian,30,45,75,Medium,6,480,Chicken Yogurt Tomatoes Onions,Grilling Simmering,Non-Vegetarian,4.8,92
3,Beef Wellington,British,60,45,105,Hard,8,650,Beef Fillet Mushrooms Puff Pastry,Baking Roasting,Non-Vegetarian,4.9,88
4,Pad Thai,Thai,20,15,35,Medium,4,420,Rice Noodles Shrimp Tofu Peanuts,Stir-frying,Non-Vegetarian,4.6,89
5,Caesar Salad,American,15,0,15,Easy,4,320,Romaine Lettuce Parmesan Croutons Caesar Dressing,Mixing,Vegetarian,4.5,85
6,Ramen Noodles,Japanese,10,20,30,Easy,2,380,Ramen Noodles Broth Eggs Pork,Boiling Simmering,Non-Vegetarian,4.4,87
7,Fish and Chips,British,20,25,45,Medium,4,580,Cod Fish Potatoes Flour Beer,Baking Frying,Non-Vegetarian,4.3,82
8,Margherita Pizza,Italian,30,15,45,Medium,6,350,Pizza Dough Tomatoes Mozzarella Basil,Baking,Vegetarian,4.6,90
9,Chicken Curry,Indian,25,35,60,Medium,6,420,Chicken Onions Tomatoes Coconut Milk,Simmering,Non-Vegetarian,4.7,88
10,Beef Stir Fry,Chinese,15,10,25,Easy,4,380,Beef Bell Peppers Broccoli Soy Sauce,Stir-frying,Non-Vegetarian,4.5,84
11,Tacos al Pastor,Mexican,20,30,50,Medium,6,450,Pork Pineapple Onions Cilantro,Grilling,Non-Vegetarian,4.8,86
12,Ratatouille,French,30,45,75,Medium,6,180,Eggplant Zucchini Tomatoes Herbs,Baking,Vegetarian,4.4,78
13,Sushi Rolls,Japanese,45,0,45,Hard,8,320,Rice Seaweed Fish Vegetables,Rolling,Non-Vegetarian,4.9,94
14,Chicken Parmesan,Italian,25,30,55,Medium,4,520,Chicken Breast Marinara Mozzarella,Baking Frying,Non-Vegetarian,4.6,87
15,Beef Bourguignon,French,45,180,225,Hard,8,580,Beef Red Wine Mushrooms Carrots,Braising,Non-Vegetarian,4.8,85
16,Fried Rice,Chinese,10,15,25,Easy,4,350,Rice Eggs Vegetables Soy Sauce,Stir-frying,Non-Vegetarian,4.3,82
17,Lamb Biryani,Indian,60,90,150,Hard,8,620,Basmati Rice Lamb Yogurt Saffron,Steaming,Non-Vegetarian,4.9,91
18,Chicken Noodle Soup,American,20,30,50,Easy,6,280,Chicken Noodles Carrots Celery,Simmering,Non-Vegetarian,4.4,79
19,Beef Tacos,Mexican,15,20,35,Easy,4,420,Ground Beef Tortillas Lettuce Cheese,Frying,Non-Vegetarian,4.5,83
20,Vegetable Stir Fry,Chinese,15,10,25,Easy,4,180,Broccoli Bell Peppers Carrots Soy Sauce,Stir-frying,Vegetarian,4.2,76
21,Chicken Alfredo,Italian,20,25,45,Medium,4,580,Pasta Chicken Cream Parmesan,Boiling Simmering,Non-Vegetarian,4.6,86
22,Beef Bulgogi,Korean,30,15,45,Medium,4,420,Beef Soy Sauce Garlic Ginger,Grilling,Non-Vegetarian,4.7,84
23,Fish Tacos,Mexican,20,15,35,Easy,4,380,White Fish Cabbage Lime Tortillas,Frying,Non-Vegetarian,4.4,81
24,Vegetable Curry,Indian,25,30,55,Medium,6,280,Potatoes Cauliflower Tomatoes Coconut Milk,Simmering,Vegetarian,4.3,77
25,Chicken Teriyaki,Japanese,20,25,45,Medium,4,420,Chicken Soy Sauce Mirin Ginger,Grilling,Non-Vegetarian,4.5,83
